# QE curve for Teledyne Princeton NIRvana 640 640x512x15um InGaAs  SWIR detector
# Data from Princeton Instruments NIRvana 640 datasheet: https://www.princetoninstruments.com/wp-content/uploads/2021/04/NIRvana-640-Datasheet-Rev-A1-2021-07-22.pdf
#Wavelength[nm] QE[%]
840.0               0.0
901.6506189821182  44.41707717569786
950.4814305364512  77.6518883415435
967.67537826685  82.11822660098521
992.4346629986244  82.77504105090311
1059.834938101788  83.95730706075533
1099.7248968363135  85.00821018062396
1123.108665749656  85.53366174055829
1158.8720770288858  85.27093596059112
1200.1375515818431  86.32183908045977
1238.6519944979368  84.7454844006568
1300.5502063273727  85.53366174055829
1322.5584594222832  85.53366174055829
1359.697386519945  86.58456486042692
1429.8486932599726  85.00821018062396
1479.3672627235214  85.53366174055829
1549.5185694635488  83.43185550082102
1599.7248968363137  80.01642036124794
1651.3067400275104  74.76190476190476
1663.6863823933975  71.34646962233168
1700.8253094910592  14.334975369458121
