#Days_from_New_Moon U       B        V        R       I
# Sky Brightness as a Function of Lunar Phase
# From: Walker (1987) NOAO Newsletter (reprinted in NOAO Newsletter No. 37, 1 March 1994)
# https://www.noao.edu/noao/noaonews/mar94/art20.html
    0          22.0    22.7     21.8     20.9    19.9
    3          21.5    22.4     21.7     20.8    19.9
    7          19.9    21.6     21.4     20.6    19.7
   10          18.5    20.7     20.7     20.3    19.5
   14          17.0    19.5     20.0     19.9    19.2
