# QE curve for e2v ccd230-42 IMO 2k x 2k x 15um CCD for 'mid-band' and 'broadband' coating
# Wavelength(nm) QE_mid-band(0..1.0) QE_broadband(0..1.0)
250   0.0       0.0
300   0.10      0.16
350   0.21      0.38
400   0.52      0.72
450   0.77      0.82
500   0.91      0.86
550   0.96      0.83
600   0.95      0.81
650   0.92      0.78
700   0.86      0.73
750   0.79      0.67
800   0.64      0.57
850   0.49      0.43
900   0.32      0.30
950   0.17      0.16
1000  0.06      0.06
1050  0.02      0.02
1100  0.00      0.00
