# Wavelength[nm],T%
931.0,98.96696
931.5,98.90763
932.0,98.95174
932.5,98.83994
933.0,98.90565
933.5,98.81934
934.0,98.80511
934.5,98.87602
935.0,98.77521
935.5,98.78867
936.0,98.75015
936.5,98.80711
937.0,98.73334
937.5,98.86262
938.0,98.77021
938.5,98.86427
939.0,98.84652
939.5,98.86689
940.0,98.91869
940.5,99.0042
941.0,98.95656
941.5,99.05458
942.0,99.0359
942.5,99.14151
943.0,99.14412
943.5,99.16537
944.0,99.25079
944.5,99.30702
945.0,99.30302
945.5,99.36744
946.0,99.51017
946.5,99.47266
947.0,99.48048
947.5,99.55042
948.0,99.6424
948.5,99.68055
949.0,99.57777
949.5,99.5689
950.0,99.58298
