ILDIALCT,ilab_v1,FITS/CSV file dialect
216.400,2.310210e-06,2.371920e-06
216.600,1.000000e-10,2.281570e-06
216.800,1.000000e-10,2.177250e-06
217.000,1.000000e-10,2.062920e-06
217.200,1.000000e-10,1.942760e-06
217.400,1.000000e-10,1.822400e-06
217.600,1.000000e-10,1.709490e-06
217.800,1.000000e-10,1.613550e-06
218.000,1.498980e-06,1.543430e-06
218.200,1.095080e-06,1.503750e-06
218.400,1.000000e-10,1.490390e-06
218.600,1.000000e-10,1.493080e-06
218.800,1.000000e-10,1.494780e-06
219.000,1.000000e-10,1.478750e-06
219.200,1.980900e-06,1.434030e-06
219.400,1.000000e-10,1.358840e-06
219.600,1.000000e-10,1.262220e-06
219.800,5.089100e-07,1.159660e-06
220.000,1.000000e-10,1.067790e-06
220.200,1.000000e-10,1.001300e-06
220.400,1.211570e-06,9.695900e-07
220.600,1.000000e-10,9.776300e-07
220.800,1.468850e-06,1.026660e-06
221.000,1.000000e-10,1.113770e-06
221.200,9.840000e-09,1.230330e-06
221.400,1.765470e-06,1.360400e-06
221.600,1.435680e-06,1.481320e-06
221.800,1.000000e-10,1.568250e-06
222.000,2.952690e-06,1.600900e-06
222.200,1.089380e-06,1.570460e-06
222.400,1.000000e-10,1.481800e-06
222.600,1.351030e-06,1.353350e-06
222.800,3.685000e-08,1.209360e-06
223.000,1.298920e-06,1.071960e-06
223.200,1.000000e-10,9.550200e-07
223.400,1.000000e-10,8.636100e-07
223.600,1.000000e-10,7.962700e-07
223.800,6.939700e-07,7.498500e-07
224.000,1.000000e-10,7.245600e-07
224.200,1.000000e-10,7.248000e-07
224.400,6.197900e-07,7.575800e-07
224.600,1.000000e-10,8.281000e-07
224.800,8.152100e-07,9.363700e-07
225.000,2.152190e-06,1.072510e-06
225.200,3.101900e-07,1.218120e-06
225.400,9.017700e-07,1.350360e-06
225.600,1.000000e-10,1.448180e-06
225.800,2.853630e-06,1.501040e-06
226.000,1.877140e-06,1.512740e-06
226.200,1.000000e-10,1.499170e-06
226.400,7.440500e-07,1.482350e-06
226.600,1.390000e-08,1.478950e-06
226.800,1.462570e-06,1.491860e-06
227.000,1.000000e-10,1.508210e-06
227.200,2.582790e-06,1.505210e-06
227.400,1.000000e-10,1.461190e-06
227.600,1.419310e-06,1.367280e-06
227.800,7.257700e-07,1.233470e-06
228.000,6.350900e-07,1.085910e-06
228.200,4.279200e-07,9.564300e-07
228.400,1.000000e-10,8.703100e-07
228.600,1.000000e-10,8.347300e-07
228.800,1.000000e-10,8.383600e-07
229.000,1.000000e-10,8.574500e-07
229.200,1.000000e-10,8.677400e-07
229.400,1.450150e-06,8.542900e-07
229.600,1.000000e-10,8.181300e-07
229.800,1.270400e-07,7.746000e-07
230.000,1.000000e-10,7.455800e-07
230.200,1.000000e-10,7.508000e-07
230.400,1.000000e-10,7.970600e-07
230.600,1.000000e-10,8.762400e-07
230.800,1.230430e-06,9.670100e-07
231.000,1.174200e-06,1.042120e-06
231.200,1.216910e-06,1.078010e-06
231.400,1.378690e-06,1.062920e-06
231.600,1.293130e-06,1.002310e-06
231.800,5.911200e-07,9.186900e-07
232.000,7.458300e-07,8.442400e-07
232.200,1.000000e-10,8.097400e-07
232.400,1.000000e-10,8.369400e-07
232.600,1.000000e-10,9.290700e-07
232.800,2.503300e-07,1.070050e-06
233.000,2.803900e-06,1.230470e-06
233.200,1.000000e-10,1.379420e-06
233.400,1.000000e-10,1.494220e-06
233.600,1.260800e-06,1.567100e-06
233.800,9.349200e-07,1.605410e-06
234.000,1.906070e-06,1.625500e-06
234.200,1.000000e-10,1.643980e-06
234.400,7.908500e-07,1.670440e-06
234.600,1.000000e-10,1.704950e-06
234.800,3.834130e-06,1.740610e-06
235.000,8.091000e-08,1.768430e-06
235.200,1.201220e-06,1.781840e-06
235.400,2.417110e-06,1.778920e-06
235.600,2.397420e-06,1.760650e-06
235.800,6.904700e-07,1.727840e-06
236.000,1.585890e-06,1.676980e-06
236.200,1.941810e-06,1.601100e-06
236.400,1.000000e-10,1.492580e-06
236.600,1.000000e-10,1.345760e-06
236.800,1.000000e-10,1.161520e-06
237.000,1.000000e-10,9.500800e-07
237.200,1.000000e-10,7.298300e-07
237.400,3.114000e-07,5.244900e-07
237.600,1.000000e-10,3.566000e-07
237.800,2.030000e-09,2.438100e-07
238.000,1.000000e-10,1.945200e-07
238.200,1.000000e-10,2.086200e-07
238.400,1.370700e-07,2.761400e-07
238.600,1.469890e-06,3.836700e-07
238.800,1.306400e-07,5.173400e-07
239.000,1.000000e-10,6.650600e-07
239.200,8.489100e-07,8.167300e-07
239.400,1.395280e-06,9.648500e-07
239.600,9.312500e-07,1.102140e-06
239.800,1.000000e-10,1.220080e-06
240.000,1.000000e-10,1.308350e-06
