ILDIALCT,ilab_v1,FITS/CSV file dialect
357.000,1.718460e-06,1.410470e-06
358.000,1.000000e-10,1.224030e-06
359.000,1.000000e-10,1.077540e-06
360.000,9.773700e-07,9.772900e-07
361.000,3.360000e-08,9.201700e-07
362.000,2.220550e-06,9.026200e-07
363.000,5.604700e-07,9.247900e-07
364.000,1.000000e-10,9.917200e-07
365.000,1.000000e-10,1.105790e-06
366.000,1.000000e-10,1.261610e-06
367.000,1.086830e-06,1.439990e-06
368.000,3.036610e-06,1.608250e-06
369.000,1.651290e-06,1.730710e-06
370.000,1.000000e-10,1.777530e-06
371.000,2.154530e-06,1.734100e-06
372.000,1.000000e-10,1.609330e-06
373.000,1.000000e-10,1.434840e-06
374.000,1.000000e-10,1.256330e-06
375.000,5.907500e-07,1.119450e-06
376.000,3.600700e-07,1.055140e-06
377.000,1.889200e-07,1.069130e-06
378.000,2.004250e-06,1.141670e-06
379.000,8.838800e-07,1.236890e-06
380.000,1.000000e-10,1.316890e-06
381.000,3.688160e-06,1.359050e-06
382.000,7.504000e-08,1.364210e-06
383.000,8.129600e-07,1.355370e-06
384.000,3.217600e-07,1.366840e-06
385.000,1.314200e-06,1.429390e-06
386.000,1.348000e-06,1.554180e-06
387.000,2.549680e-06,1.728430e-06
388.000,2.108910e-06,1.919050e-06
389.000,2.239210e-06,2.084380e-06
390.000,2.770460e-06,2.188170e-06
391.000,1.873820e-06,2.210310e-06
392.000,2.888890e-06,2.153060e-06
393.000,1.000000e-10,2.036530e-06
394.000,1.017350e-06,1.890100e-06
395.000,1.000000e-10,1.744660e-06
396.000,1.693430e-06,1.622690e-06
397.000,1.000000e-10,1.536160e-06
398.000,1.355950e-06,1.487060e-06
399.000,1.821450e-06,1.468030e-06
400.000,1.000000e-10,1.469010e-06
401.000,1.000000e-10,1.478780e-06
402.000,9.523700e-07,1.487190e-06
403.000,1.000000e-10,1.484700e-06
404.000,2.583890e-06,1.462650e-06
405.000,3.031500e-07,1.414010e-06
406.000,1.000000e-10,1.334300e-06
407.000,2.049500e-06,1.223510e-06
408.000,9.750100e-07,1.087880e-06
409.000,7.479500e-07,9.413300e-07
410.000,7.338700e-07,8.020600e-07
411.000,3.027800e-07,6.899600e-07
412.000,1.000000e-10,6.236900e-07
413.000,1.000000e-10,6.164500e-07
414.000,1.000000e-10,6.730900e-07
415.000,1.000000e-10,7.882000e-07
416.000,1.010110e-06,9.468000e-07
417.000,1.343360e-06,1.125480e-06
418.000,3.508500e-07,1.296910e-06
419.000,1.926140e-06,1.436460e-06
420.000,3.187380e-06,1.528880e-06
421.000,1.000000e-10,1.571880e-06
422.000,6.816300e-07,1.574320e-06
423.000,1.000000e-10,1.553650e-06
424.000,1.000000e-10,1.528210e-06
425.000,1.402240e-06,1.508930e-06
426.000,2.066680e-06,1.497360e-06
