# Wavelength[nm],T%
350.0,6.96108
350.5,8.73852
351.0,10.84653
351.5,12.87493
352.0,14.11569
352.5,13.46218
353.0,11.66122
353.5,9.61742
354.0,8.27436
354.5,7.68851
355.0,8.65931
355.5,11.63355
356.0,15.55741
356.5,19.93697
357.0,24.1204
357.5,27.8672
358.0,29.40657
358.5,29.04977
359.0,28.32489
359.5,28.70984
360.0,29.20943
360.5,29.98691
361.0,31.06352
361.5,32.0565
362.0,31.41194
362.5,28.71761
363.0,24.34799
363.5,19.00721
364.0,13.86541
364.5,8.86169
365.0,5.17779
365.5,2.44524
366.0,1.11424
366.5,0.41442
367.0,0.42073
367.5,0.20128
368.0,0.08259
368.5,0.25823
369.0,0.09485
369.5,0.12473
370.0,0.14653
370.5,0.20197
371.0,0.28507
371.5,0.13152
372.0,0.20631
372.5,0.11742
373.0,0.08089
373.5,0.12415
374.0,0.14775
374.5,0.17114
375.0,0.14206
375.5,0.08496
376.0,0.08052
376.5,0.14867
377.0,0.16079
377.5,0.11482
378.0,0.08617
378.5,0.06316
379.0,0.22026
379.5,0.05248
380.0,0.13355
380.5,0.16265
381.0,0.26029
381.5,0.34223
382.0,0.6146
382.5,1.03835
383.0,1.39535
383.5,1.87979
384.0,2.38155
384.5,2.78406
385.0,3.07881
385.5,3.11971
386.0,3.07014
386.5,2.93856
387.0,2.7834
387.5,2.57246
388.0,2.4572
388.5,2.4006
389.0,2.33684
389.5,2.29255
390.0,2.29288
390.5,2.27715
391.0,2.25586
391.5,2.16202
392.0,2.00037
392.5,1.86323
393.0,1.67784
393.5,1.5939
394.0,1.45318
394.5,1.27108
395.0,1.2183
395.5,1.12334
396.0,1.13049
396.5,1.12314
397.0,1.1199
397.5,1.18456
398.0,1.28888
398.5,1.35195
399.0,1.37298
399.5,1.41268
400.0,1.36389
400.5,1.35893
401.0,1.29068
401.5,1.20384
402.0,1.13984
402.5,1.16063
403.0,1.05117
403.5,1.06597
404.0,1.05612
404.5,1.05005
405.0,1.19012
405.5,1.17609
406.0,1.25805
406.5,1.27114
407.0,1.43266
407.5,1.41531
408.0,1.5056
408.5,1.51563
409.0,1.50522
409.5,1.47201
410.0,1.42921
410.5,1.34712
