#Wavelength (nm)	%Transmission
# Transmission for uncoated UV fused silica
# From: ThorLabs Excel spreadsheet linked from https://www.thorlabs.com/NewGroupPage9.cfm?ObjectGroup_ID=3983
592	0.932901
593	0.9329089
594	0.9329168
595	0.9329247
596	0.9329325
597	0.9329402
598	0.932948
599	0.9329557
600	0.9329633
601	0.932971
602	0.9329786
603	0.9329861
604	0.9329937
605	0.9330012
606	0.9330086
607	0.9330161
608	0.9330235
609	0.9330309
610	0.9330382
611	0.9330455
612	0.9330528
613	0.93306
614	0.9330672
615	0.9330744
616	0.9330816
617	0.9330887
618	0.9330958
619	0.9331029
620	0.9331099
621	0.9331169
622	0.9331239
623	0.9331308
624	0.9331378
625	0.9331447
626	0.9331515
627	0.9331584
628	0.9331652
629	0.9331719
630	0.9331787
631	0.9331854
632	0.9331921
633	0.9331988
634	0.9332054
635	0.9332121
636	0.9332187
637	0.9332252
638	0.9332318
639	0.9332383
640	0.9332448
641	0.9332512
642	0.9332577
643	0.9332641
644	0.9332705
645	0.9332768
646	0.9332832
647	0.9332895
648	0.9332958
649	0.933302
650	0.9333083
651	0.9333145
652	0.9333207
653	0.9333269
654	0.933333
655	0.9333391
656	0.9333452
657	0.9333513
658	0.9333574
659	0.9333634
660	0.9333694
661	0.9333754
662	0.9333814
663	0.9333873
664	0.9333933
665	0.9333992
666	0.933405
667	0.9334109
668	0.9334167
669	0.9334226
670	0.9334284
671	0.9334341
672	0.9334399
673	0.9334456
674	0.9334513
675	0.933457
676	0.9334627
677	0.9334684
678	0.933474
679	0.9334796
680	0.9334852
681	0.9334908
682	0.9334963
683	0.9335019
684	0.9335074
685	0.9335129
686	0.9335184
687	0.9335238
688	0.9335293
689	0.9335347
690	0.9335401
691	0.9335455
692	0.9335509
693	0.9335562
694	0.9335615
695	0.9335669
696	0.9335722
697	0.9335774
698	0.9335827
699	0.933588
700	0.9335932
701	0.9335984
702	0.9336036
703	0.9336088
704	0.9336139
705	0.9336191
706	0.9336242
707	0.9336293
708	0.9336344
709	0.9336395
710	0.9336446
711	0.9336496
712	0.9336546
713	0.9336597
714	0.9336647
715	0.9336696
716	0.9336746
717	0.9336796
718	0.9336845
719	0.9336894
720	0.9336943
721	0.9336992
722	0.9337041
723	0.933709
724	0.9337138
725	0.9337187
726	0.9337235
727	0.9337283
728	0.9337331
729	0.9337379
730	0.9337426
731	0.9337474
732	0.9337521
733	0.9337568
734	0.9337615
735	0.9337662
736	0.9337709
737	0.9337756
738	0.9337802
739	0.9337849
740	0.9337895
741	0.9337941
742	0.9337987
743	0.9338033
744	0.9338079
745	0.9338124
746	0.933817
747	0.9338215
748	0.933826
749	0.9338305
750	0.933835
751	0.9338395
752	0.933844
753	0.9338485
754	0.9338529
755	0.9338573
756	0.9338618
757	0.9338662
758	0.9338706
759	0.933875
760	0.9338793
761	0.9338837
762	0.9338881
763	0.9338924
764	0.9338967
765	0.933901
766	0.9339053
767	0.9339096
768	0.9339139
769	0.9339182
770	0.9339225
771	0.9339267
772	0.933931
773	0.9339352
774	0.9339394
775	0.9339436
776	0.9339478
777	0.933952
778	0.9339562
779	0.9339603
780	0.9339645
781	0.9339686
782	0.9339728
783	0.9339769
784	0.933981
785	0.9339851
786	0.9339892
787	0.9339933
788	0.9339974
789	0.9340014
790	0.9340055
791	0.9340095
792	0.9340136
793	0.9340176
794	0.9340216
795	0.9340256
796	0.9340296
797	0.9340336
798	0.9340376
799	0.9340415
800	0.9340455
801	0.9340495
802	0.9340534
803	0.9340573
804	0.9340612
805	0.9340652
806	0.9340691
807	0.934073
808	0.9340769
809	0.9340807
810	0.9340846
811	0.9340885
812	0.9340923
813	0.9340962
814	0.9341
815	0.9341038
816	0.9341076
817	0.9341115
818	0.9341153
819	0.934119
820	0.9341228
821	0.9341266
822	0.9341304
823	0.9341341
824	0.9341379
825	0.9341416
826	0.9341454
827	0.9341491
828	0.9341528
829	0.9341565
830	0.9341603
831	0.934164
832	0.9341676
833	0.9341713
834	0.934175
835	0.9341787
836	0.9341823
837	0.934186
838	0.9341896
839	0.9341933
840	0.9341969
841	0.9342005
842	0.9342042
843	0.9342078
844	0.9342114
845	0.934215
846	0.9342185
847	0.9342221
848	0.9342257
849	0.9342293
850	0.9342328
851	0.9342364
852	0.9342399
853	0.9342435
854	0.934247
855	0.9342505
856	0.9342541
857	0.9342576
858	0.9342611
859	0.9342646
860	0.9342681
861	0.9342716
862	0.9342751
863	0.9342785
864	0.934282
865	0.9342855
866	0.9342889
867	0.9342924
868	0.9342958
869	0.9342993
870	0.9343027
871	0.9343061
872	0.9343095
873	0.934313
874	0.9343164
875	0.9343198
876	0.9343232
877	0.9343266
878	0.9343299
879	0.9343333
880	0.9343367
881	0.9343401
882	0.9343434
883	0.9343468
884	0.9343501
885	0.9343535
886	0.9343568
887	0.9343601
888	0.9343635
889	0.9343668
890	0.9343701
891	0.9343734
892	0.9343767
893	0.93438
894	0.9343833
895	0.9343866
896	0.9343899
897	0.9343932
898	0.9343965
899	0.9343997
900	0.934403
901	0.9344063
902	0.9344095
903	0.9344128
904	0.934416
905	0.9344193
906	0.9344225
907	0.9344257
908	0.934429
909	0.9344322
910	0.9344354
911	0.9344386
912	0.9344418
913	0.934445
914	0.9344482
915	0.9344514
916	0.9344546
917	0.9344578
918	0.934461
919	0.9344641
920	0.9344673
921	0.9344705
922	0.9344736
923	0.9344768
924	0.9344799
925	0.9344831
926	0.9344862
927	0.9344894
928	0.9344925
929	0.9344956
930	0.9344988
931	0.9345019
932	0.934505
933	0.9345081
934	0.9345112
935	0.9345143
936	0.9345174
937	0.9345205
938	0.9345236
939	0.9345267
940	0.9345298
941	0.9345329
942	0.934536
943	0.934539
944	0.9345421
945	0.9345452
946	0.9345482
947	0.9345513
948	0.9345543
949	0.9345574
950	0.9345604
951	0.9345635
952	0.9345665
953	0.9345695
954	0.9345726
955	0.9345756
956	0.9345786
957	0.9345817
958	0.9345847
959	0.9345877
960	0.9345907
961	0.9345937
962	0.9345967
963	0.9345997
964	0.9346027
965	0.9346057
966	0.9346087
967	0.9346117
968	0.9346146
969	0.9346176
970	0.9346206
971	0.9346236
972	0.9346265
973	0.9346295
974	0.9346325
975	0.9346354
976	0.9346384
977	0.9346413
978	0.9346443
979	0.9346472
