# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
410.51 1542.539
411.26 1557.353
412.01 1566.247
412.77 1575.154
413.52 1580.253
414.28 1583.224
415.03 1586.198
415.78 1579.536
416.54 1571.729
417.29 1562.718
418.05 1546.003
418.80 1529.256
419.55 1515.95
420.31 1508.816
421.06 1501.666
421.82 1492.557
422.57 1481.971
423.32 1471.364
424.08 1457.744
424.83 1443.2
425.59 1428.627
426.34 1394.351
427.09 1359.026
427.85 1323.711
428.60 1288.873
429.36 1253.971
430.11 1238.631
430.86 1274.479
431.62 1310.385
432.37 1353.589
433.13 1406.96
433.88 1460.419
434.63 1497.192
435.39 1519.938
436.14 1542.72
436.90 1551.474
437.65 1552.875
438.40 1554.275
439.16 1568.449
439.91 1586.831
440.67 1605.24
441.42 1628.819
442.17 1653.437
442.93 1678.093
443.68 1692.639
444.44 1706.15
445.19 1719.681
445.94 1742.254
446.70 1765.248
447.45 1788.278
448.21 1814.396
448.96 1840.558
449.71 1866.232
450.47 1868.483
451.22 1871.26
451.98 1873.845
452.73 1870.555
453.48 1867.256
454.24 1864.315
454.99 1874.78
455.75 1885.259
456.50 1895.706
457.25 1897.244
458.01 1898.783
458.76 1900.322
459.52 1900.262
460.27 1900.15
461.02 1900.035
461.78 1900.528
462.53 1901.074
463.29 1901.619
464.04 1903.912
464.79 1906.512
465.55 1909.113
466.30 1911.335
467.06 1913.444
467.81 1915.553
468.56 1914.918
469.32 1912.941
470.07 1910.958
470.83 1913.853
471.58 1920.595
472.33 1927.345
473.09 1935.806
473.84 1946.528
474.60 1957.264
475.35 1966.286
476.10 1971.011
476.86 1975.741
477.61 1979.744
478.37 1978.73
479.12 1977.711
479.87 1976.689
480.63 1969.541
481.38 1962.064
482.14 1954.572
482.89 1932.627
483.64 1906.081
484.40 1879.491
485.15 1859.431
485.91 1844.683
486.66 1829.909
487.41 1824.527
488.17 1838.364
488.92 1852.22
489.68 1865.678
490.43 1874.883
491.18 1884.099
491.94 1893.328
492.69 1901.805
493.45 1910.14
494.20 1918.486
494.95 1919.093
495.71 1913.598
496.46 1908.092
497.22 1900.013
497.97 1885.007
498.72 1869.975
499.48 1854.918
500.23 1851.726
500.99 1848.912
501.74 1846.091
502.49 1852.2
503.25 1863.276
504.00 1874.366
504.76 1884.593
505.51 1892.83
506.26 1901.077
507.02 1909.334
507.77 1909.452
508.53 1909.135
509.28 1908.815
510.03 1904.03
510.79 1895.96
511.54 1887.877
512.30 1876.998
513.05 1854.102
513.80 1831.171
514.56 1808.204
515.31 1785.609
516.07 1763.092
516.82 1740.54
517.57 1729.888
518.33 1740.629
519.08 1751.383
519.84 1762.151
520.59 1781.988
521.34 1802.664
522.10 1823.368
522.85 1835.027
523.61 1836.053
524.36 1837.078
525.11 1838.102
525.87 1841.331
526.62 1844.594
527.38 1847.861
528.13 1854.994
528.88 1866.105
529.64 1877.231
530.39 1888.37
531.15 1885.135
531.90 1881.661
532.65 1878.18
533.41 1878.226
534.16 1882.487
534.92 1886.751
535.67 1891.02
536.42 1892.29
537.18 1893.267
537.93 1894.243
538.69 1893.607
539.44 1889.937
540.19 1886.261
540.95 1882.578
541.70 1886.124
542.46 1891.88
543.21 1897.641
543.96 1902.818
544.72 1905.084
545.47 1907.351
546.23 1909.619
546.98 1909.51
547.73 1907.466
548.49 1905.416
549.24 1903.362
550.00 1904.911
550.75 1906.646
551.50 1908.381
552.26 1909.621
553.01 1909.475
553.77 1909.327
554.52 1909.177
555.27 1905.881
556.03 1900.406
556.78 1894.923
557.54 1889.431
558.29 1889.289
559.04 1889.729
559.80 1890.168
560.55 1891.126
561.31 1894.253
562.06 1897.383
562.81 1900.514
563.57 1901.631
564.32 1900.441
565.08 1899.248
565.83 1898.053
566.58 1898.625
567.34 1899.885
568.09 1901.146
568.85 1902.406
569.60 1907.204
570.35 1912.167
571.11 1917.136
571.86 1921.699
572.62 1924.297
573.37 1926.896
574.12 1929.497
574.88 1930.354
575.63 1928.239
576.39 1926.119
577.14 1923.995
577.89 1923.488
578.65 1924.311
579.40 1925.134
580.16 1925.956
580.91 1926.416
581.66 1926.727
582.42 1927.036
583.17 1927.344
583.93 1921.147
584.68 1913.782
585.43 1906.406
586.19 1899.02
586.94 1890.956
587.70 1882.86
588.45 1874.753
589.20 1867.444
589.96 1870.623
590.71 1873.804
591.47 1876.988
592.22 1880.405
592.97 1885.106
593.73 1889.811
594.48 1894.521
595.24 1897.896
595.99 1896.38
596.74 1894.86
597.50 1893.338
598.25 1891.333
599.01 1887.943
599.76 1884.546
600.51 1881.182
601.27 1879.002
602.02 1879.837
602.78 1880.673
603.53 1881.507
604.28 1881.593
605.04 1879.774
605.79 1877.951
606.55 1876.124
607.30 1872.722
608.05 1864.962
608.81 1857.19
609.56 1849.406
610.32 1841.265
611.07 1831.935
611.82 1822.592
612.58 1813.236
613.33 1804.915
614.09 1801.708
614.84 1798.496
615.59 1795.278
616.35 1792.713
617.10 1796.68
617.86 1800.651
618.61 1804.626
619.36 1808.604
620.12 1807.081
620.87 1805.519
621.63 1803.953
622.38 1802.384
623.13 1799.958
623.89 1797.404
624.64 1794.846
625.40 1792.283
626.15 1792.734
626.90 1794.274
627.66 1795.814
628.41 1797.355
629.17 1796.679
629.92 1794.347
630.67 1792.011
631.43 1789.67
632.18 1787.58
632.94 1785.881
633.69 1784.179
634.44 1782.473
635.20 1780.952
635.95 1780.233
636.71 1779.511
637.46 1778.787
638.21 1778.061
638.97 1775.452
639.72 1772.774
640.48 1770.091
641.23 1767.404
641.98 1764.976
642.74 1762.645
643.49 1760.311
644.25 1757.972
645.00 1755.701
645.75 1753.511
646.51 1751.317
647.26 1749.118
648.02 1746.896
648.77 1744.567
649.52 1742.234
650.28 1739.888
651.03 1737.523
651.79 1729.937
652.54 1721.487
653.29 1713.025
654.05 1704.552
654.80 1698.686
655.56 1695.141
656.31 1691.591
657.06 1688.036
657.82 1686.506
658.57 1694.46
659.33 1702.422
660.08 1710.392
660.83 1718.371
661.59 1721.758
662.34 1724.013
663.10 1726.27
663.85 1728.529
664.60 1729.364
665.36 1728.123
666.11 1726.88
666.87 1725.634
667.62 1724.386
668.37 1722.47
669.13 1720.543
669.88 1718.613
670.64 1716.68
671.39 1714.826
672.14 1713.037
672.90 1711.244
673.65 1709.449
674.41 1707.639
675.16 1705.714
675.91 1703.786
676.67 1701.854
677.42 1699.919
678.18 1697.663
678.93 1695.193
679.68 1692.719
680.44 1690.241
681.19 1687.774
681.95 1685.44
682.70 1683.102
683.45 1680.76
684.21 1678.414
684.96 1676.837
685.72 1675.852
686.47 1674.865
687.22 1673.876
687.98 1672.881
688.73 1671.56
689.49 1670.236
690.24 1668.91
690.99 1667.581
691.75 1665.785
692.50 1663.386
693.26 1660.984
694.01 1658.577
694.76 1656.166
695.52 1653.26
696.27 1650.253
697.03 1647.243
697.78 1644.228
698.53 1641.227
699.29 1638.29
700.04 1635.345
700.80 1632.333
701.55 1629.318
702.30 1627.341
703.06 1626.14
703.81 1624.937
704.57 1623.731
705.32 1622.524
706.07 1620.721
706.83 1618.852
707.58 1616.981
708.34 1615.106
709.09 1612.878
709.84 1609.351
710.60 1605.819
711.35 1602.283
712.11 1598.743
712.86 1594.878
713.61 1590.688
714.37 1586.492
715.12 1582.291
715.88 1578.085
716.63 1575.146
717.38 1572.606
718.14 1570.063
718.89 1567.516
719.65 1564.966
720.40 1565.128
721.15 1565.293
721.91 1565.457
722.66 1565.621
723.42 1565.491
724.17 1564.276
724.92 1563.058
725.68 1561.839
726.43 1560.617
727.19 1558.976
727.94 1556.71
728.69 1554.441
729.45 1552.169
730.20 1549.894
730.96 1548.329
731.71 1547.306
732.46 1546.281
733.22 1545.255
733.97 1544.226
734.73 1541.582
735.48 1538.274
736.23 1534.961
736.99 1531.644
737.74 1528.323
738.50 1525.014
739.25 1521.704
740.00 1518.39
740.76 1515.072
741.51 1511.749
742.27 1511.485
743.02 1511.489
743.77 1511.493
744.53 1511.495
745.28 1511.497
746.04 1511.246
746.79 1510.992
747.54 1510.736
748.30 1510.479
749.05 1510.197
749.81 1509.167
750.56 1507.963
751.31 1506.696
752.07 1505.429
752.82 1504.138
753.58 1502.426
754.33 1500.713
755.08 1498.998
755.84 1497.281
756.59 1495.541
757.35 1493.318
758.10 1491.093
758.85 1488.865
759.61 1486.636
760.36 1484.4
761.12 1481.733
761.87 1479.064
762.62 1476.393
763.38 1473.72
764.13 1471.044
764.89 1468.381
765.64 1465.716
766.39 1463.05
767.15 1460.38
767.90 1457.709
768.66 1455.826
769.41 1454.057
770.16 1452.286
770.92 1450.514
771.67 1448.74
772.43 1447.555
773.18 1446.55
773.93 1445.545
774.69 1444.538
