# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
411.26 1734.634
412.01 1743.512
412.77 1752.393
413.52 1757.029
414.28 1759.296
415.03 1761.562
415.78 1753.13
416.54 1743.439
417.29 1732.423
418.05 1712.884
418.80 1693.333
419.55 1677.612
420.31 1668.735
421.06 1659.85
421.82 1648.812
422.57 1636.156
423.32 1623.491
424.08 1607.518
424.83 1590.545
425.59 1573.56
426.34 1534.905
427.09 1495.141
427.85 1455.435
428.60 1416.298
429.36 1377.138
430.11 1359.493
430.86 1398.018
431.62 1436.563
432.37 1483.057
433.13 1540.629
433.88 1598.231
434.63 1637.514
435.39 1661.418
436.14 1685.333
436.90 1693.903
437.65 1694.44
438.40 1694.975
439.16 1709.431
439.91 1728.454
440.67 1747.483
441.42 1772.114
442.17 1797.846
442.93 1823.588
443.68 1838.32
444.44 1851.911
445.19 1865.506
445.94 1888.889
446.70 1912.7
447.45 1936.521
448.21 1963.656
448.96 1990.807
449.71 2017.397
450.47 2020.621
451.22 2022.315
451.98 2023.801
452.73 2018.943
453.48 2014.083
454.24 2009.615
454.99 2019.594
455.75 2029.577
456.50 2039.513
457.25 2039.858
458.01 2040.203
458.76 2040.549
459.52 2039.179
460.27 2037.755
461.02 2036.33
461.78 2035.559
462.53 2034.847
463.29 2034.134
464.04 2035.291
464.79 2036.775
465.55 2038.259
466.30 2039.337
467.06 2040.293
467.81 2041.249
468.56 2039.281
469.32 2035.889
470.07 2032.495
470.83 2034.29
471.58 2040.17
472.33 2046.052
473.09 2053.742
473.84 2063.82
474.60 2073.9
475.35 2082.154
476.10 2085.85
476.86 2089.547
477.61 2092.471
478.37 2090.093
479.12 2087.714
479.87 2085.334
480.63 2076.499
481.38 2067.329
482.14 2058.155
482.89 2033.784
483.64 2004.604
484.40 1975.414
485.15 1953.12
485.91 1936.43
486.66 1919.735
487.41 1912.907
488.17 1926.224
488.92 1939.546
489.68 1952.437
490.43 1960.862
491.18 1969.29
491.94 1977.721
492.69 1985.358
493.45 1992.838
494.20 2000.32
494.95 1999.729
495.71 1992.784
496.46 1985.837
497.22 1976.223
497.97 1959.421
498.72 1942.613
499.48 1925.799
500.23 1921.335
500.99 1917.311
501.74 1913.286
502.49 1918.515
503.25 1928.88
504.00 1939.248
504.76 1948.711
505.51 1956.109
506.26 1963.508
507.02 1970.911
507.77 1969.907
508.53 1968.457
509.28 1967.006
510.03 1960.958
510.79 1951.537
511.54 1942.112
512.30 1929.825
513.05 1905.203
513.80 1880.574
514.56 1855.936
515.31 1831.708
516.07 1807.588
516.82 1783.46
517.57 1771.545
518.33 1781.54
519.08 1791.537
519.84 1801.538
520.59 1820.794
521.34 1840.886
522.10 1860.985
522.85 1871.835
523.61 1871.832
524.36 1871.829
525.11 1871.826
525.87 1874.066
526.62 1876.341
527.38 1878.615
528.13 1884.816
528.88 1895.051
529.64 1905.289
530.39 1915.53
531.15 1911.188
531.90 1906.607
532.65 1902.025
533.41 1901.02
534.16 1904.278
534.92 1907.537
535.67 1910.797
536.42 1911.026
537.18 1910.958
537.93 1910.891
538.69 1909.198
539.44 1904.451
540.19 1899.703
540.95 1894.953
541.70 1897.482
542.46 1902.229
543.21 1906.978
543.96 1911.135
544.72 1912.365
545.47 1913.596
546.23 1914.827
546.98 1913.674
547.73 1910.584
548.49 1907.493
549.24 1904.401
550.00 1904.916
550.75 1905.56
551.50 1906.203
552.26 1906.35
553.01 1905.115
553.77 1903.879
554.52 1902.644
555.27 1898.276
556.03 1891.744
556.78 1885.211
557.54 1878.677
558.29 1877.468
559.04 1876.838
559.80 1876.208
560.55 1876.094
561.31 1878.13
562.06 1880.166
562.81 1882.203
563.57 1882.243
564.32 1880.001
565.08 1877.759
565.83 1875.517
566.58 1875.024
567.34 1875.21
568.09 1875.396
568.85 1875.583
569.60 1879.254
570.35 1883.085
571.11 1886.917
571.86 1890.346
572.62 1891.838
573.37 1893.331
574.12 1894.824
574.88 1894.604
575.63 1891.468
576.39 1888.331
577.14 1885.194
577.89 1883.645
578.65 1883.399
579.40 1883.153
580.16 1882.907
580.91 1882.307
581.66 1881.562
582.42 1880.817
583.17 1880.071
583.93 1872.985
584.68 1864.768
585.43 1856.551
586.19 1848.332
586.94 1839.464
587.70 1830.574
588.45 1821.683
589.20 1813.578
589.96 1815.661
590.71 1817.744
591.47 1819.827
592.22 1822.134
592.97 1825.683
593.73 1829.232
594.48 1832.781
595.24 1835.036
595.99 1832.562
596.74 1830.088
597.50 1827.613
598.25 1824.677
599.01 1820.407
599.76 1816.137
600.51 1811.755
601.27 1808.45
602.02 1808.05
602.78 1807.649
603.53 1807.249
604.28 1806.13
605.04 1803.186
605.79 1800.241
606.55 1797.297
607.30 1792.849
608.05 1784.237
608.81 1775.625
609.56 1767.013
610.32 1758.071
611.07 1748.007
611.82 1737.944
612.58 1727.881
613.33 1718.816
614.09 1714.631
614.84 1710.446
615.59 1706.262
616.35 1702.702
617.10 1705.348
617.86 1707.994
618.61 1710.639
619.36 1713.285
620.12 1710.719
620.87 1708.119
621.63 1705.519
622.38 1702.92
623.13 1699.514
623.89 1695.993
624.64 1692.471
625.40 1688.95
626.15 1688.272
626.90 1688.619
627.66 1688.966
628.41 1689.314
629.17 1687.578
629.92 1684.29
630.67 1681.003
631.43 1677.715
632.18 1674.667
632.94 1671.988
633.69 1669.31
634.44 1666.632
635.20 1664.13
635.95 1662.379
636.71 1660.629
637.46 1658.88
638.21 1657.13
638.97 1653.628
639.72 1650.067
640.48 1646.506
641.23 1642.945
641.98 1639.63
642.74 1636.409
643.49 1633.189
644.25 1629.969
645.00 1626.815
645.75 1623.741
646.51 1620.667
647.26 1617.593
648.02 1614.5
648.77 1611.313
649.52 1608.126
650.28 1604.896
651.03 1601.589
651.79 1593.478
652.54 1584.582
653.29 1575.688
654.05 1566.797
654.80 1560.311
655.56 1555.965
656.31 1551.621
657.06 1547.277
657.82 1544.794
658.57 1550.996
659.33 1557.196
660.08 1563.395
660.83 1569.592
661.59 1571.589
662.34 1572.552
663.10 1573.514
663.85 1574.476
664.60 1574.14
665.36 1571.917
666.11 1569.695
666.87 1567.472
667.62 1565.251
668.37 1562.426
669.13 1559.596
669.88 1556.766
670.64 1553.937
671.39 1551.184
672.14 1548.492
672.90 1545.802
673.65 1543.112
674.41 1540.412
675.16 1537.613
675.91 1534.813
676.67 1532.015
677.42 1529.216
678.18 1526.134
678.93 1522.863
679.68 1519.593
680.44 1516.323
681.19 1513.067
681.95 1509.935
682.70 1506.803
683.45 1503.672
684.21 1500.542
684.96 1498.102
685.72 1496.195
686.47 1494.288
687.22 1492.381
687.98 1490.471
688.73 1488.274
689.49 1486.077
690.24 1483.88
690.99 1481.684
691.75 1479.077
692.50 1475.937
693.26 1472.798
694.01 1469.66
694.76 1466.522
695.52 1462.949
696.27 1459.293
697.03 1455.638
697.78 1451.984
698.53 1448.347
699.29 1444.771
700.04 1441.189
700.80 1437.506
701.55 1433.824
702.30 1431.06
703.06 1428.982
703.81 1426.904
704.57 1424.826
705.32 1422.749
706.07 1420.154
706.83 1417.504
707.58 1414.855
708.34 1412.207
709.09 1409.253
709.84 1405.169
710.60 1401.087
711.35 1397.006
712.11 1392.926
712.86 1388.57
713.61 1383.937
714.37 1379.304
715.12 1374.674
715.88 1370.045
716.63 1366.522
717.38 1363.35
718.14 1360.178
718.89 1357.008
719.65 1353.839
720.40 1353.019
721.15 1352.202
721.91 1351.385
722.66 1350.569
723.42 1349.5
724.17 1347.498
724.92 1345.496
725.68 1343.495
726.43 1341.494
727.19 1339.136
727.94 1336.244
728.69 1333.354
729.45 1330.465
730.20 1327.576
730.96 1325.3
731.71 1323.49
732.46 1321.68
733.22 1319.871
733.97 1318.062
734.73 1314.878
735.48 1311.132
736.23 1307.387
736.99 1303.644
737.74 1299.901
738.50 1296.174
739.25 1292.452
740.00 1288.73
740.76 1285.01
741.51 1281.291
742.27 1280.167
743.02 1279.272
743.77 1278.377
744.53 1277.483
745.28 1276.588
746.04 1275.481
746.79 1274.372
747.54 1273.264
748.30 1272.155
749.05 1271.028
749.81 1269.272
750.56 1267.502
751.31 1265.728
752.07 1263.955
752.82 1262.164
753.58 1260.021
754.33 1257.879
755.08 1255.738
755.84 1253.598
756.59 1251.44
757.35 1248.881
758.10 1246.322
758.85 1243.764
759.61 1241.207
760.36 1238.647
761.12 1235.731
761.87 1232.815
762.62 1229.901
763.38 1226.987
764.13 1224.075
764.89 1221.176
765.64 1218.28
766.39 1215.384
767.15 1212.489
767.90 1209.595
768.66 1207.358
769.41 1205.218
770.16 1203.078
770.92 1200.939
771.67 1198.801
772.43 1197.153
773.18 1195.655
773.93 1194.157
774.69 1192.66
775.44 1191.164
776.20 1189.639
776.95 1188.097
777.70 1186.557
778.46 1185.016
779.21 1183.476
779.97 1181.573
780.72 1179.264
781.47 1176.955
782.23 1174.648
782.98 1172.341
783.74 1169.993
784.49 1167.544
785.24 1165.096
786.00 1162.649
786.75 1160.202
787.51 1157.679
788.26 1154.222
789.01 1150.767
789.77 1147.313
790.52 1143.86
791.28 1140.408
792.03 1137.697
792.78 1135.128
793.54 1132.56
794.29 1129.993
795.05 1127.427
795.80 1125.685
796.55 1124.548
797.31 1123.411
798.06 1122.275
798.82 1121.139
799.57 1119.688
800.32 1117.437
801.08 1115.167
801.83 1112.897
802.59 1110.629
803.34 1108.362
804.09 1105.911
804.85 1103.456
805.60 1101.002
806.36 1098.548
807.11 1096.096
807.86 1094.058
808.62 1092.264
809.37 1090.471
810.13 1088.679
810.88 1086.887
811.63 1084.919
812.39 1082.446
813.14 1079.975
813.90 1077.504
814.65 1075.034
815.40 1072.565
816.16 1069.008
816.91 1065.278
817.67 1061.55
818.42 1057.823
819.17 1054.099
819.93 1051.281
820.68 1049.622
821.44 1047.964
822.19 1046.307
822.94 1044.65
823.70 1042.994
824.45 1041.871
825.21 1040.755
825.96 1039.64
826.71 1038.525
827.47 1037.411
828.22 1035.491
828.98 1032.795
829.73 1030.1
830.48 1027.406
831.24 1024.713
831.99 1022.024
832.75 1019.967
833.50 1017.911
834.25 1015.856
835.01 1013.802
835.76 1011.748
836.52 1009.812
837.27 1008.007
838.02 1006.202
838.78 1004.399
839.53 1002.596
840.29 1000.794
841.04 998.0974
841.79 995.3139
842.55 992.5316
843.30 989.7504
844.06 986.9705
844.81 983.398
845.56 978.1479
846.32 972.9003
847.07 967.6551
847.83 962.4122
848.58 957.1717
849.33 951.7868
850.09 946.3429
850.84 940.9014
851.60 935.4623
852.35 930.0258
853.10 924.9553
853.86 925.6157
854.61 926.2757
855.37 926.9353
856.12 927.5945
856.87 928.2532
857.63 928.7678
858.38 929.0533
859.14 929.3387
859.89 929.6238
860.64 929.9086
861.40 930.1932
862.15 927.3783
862.91 923.1354
863.66 918.8945
864.41 914.6554
865.17 910.4183
865.92 906.1831
866.68 905.8675
867.43 905.7427
868.18 905.6178
868.94 905.4928
869.69 905.3679
870.45 905.4188
871.20 906.196
871.95 906.9728
872.71 907.7491
873.46 908.5249
874.22 909.3003
874.97 909.1234
875.72 907.5612
876.48 905.9997
877.23 904.4387
877.99 902.8784
878.74 901.3188
879.49 899.6061
880.25 897.7868
881.00 895.9683
881.76 894.1505
882.51 892.3335
883.26 890.5173
884.02 889.3327
884.77 888.3671
885.53 887.4019
886.28 886.4369
887.03 885.4724
887.79 884.5082
888.54 883.5095
889.30 882.5057
890.05 881.5024
890.80 880.4994
891.56 879.4968
892.31 878.4946
893.07 876.4444
893.82 874.3546
894.57 872.2657
895.33 870.1777
896.08 868.0907
896.84 865.9963
897.59 863.6161
898.34 861.237
899.10 858.859
899.85 856.4819
900.61 854.161
901.36 851.9127
902.11 850.5239
902.87 849.1355
903.62 847.7476
904.38 846.36
905.13 844.9728
905.88 843.5895
906.64 842.2526
907.39 840.9161
908.15 839.58
908.90 838.2443
909.65 836.909
910.41 835.584
911.16 834.4685
911.92 833.3533
912.67 832.2385
913.42 831.1239
914.18 830.0097
914.93 828.8958
915.69 826.4008
916.44 823.8936
917.19 821.3871
917.95 818.8815
918.70 816.3765
919.46 813.8724
920.21 811.5706
920.96 809.2905
921.72 807.0111
922.47 804.7324
923.23 802.4544
923.98 800.177
924.73 799.5317
925.49 799.319
926.24 799.1063
927.00 798.8936
927.75 798.6809
928.50 798.4683
929.26 797.9607
930.01 797.2904
930.77 796.6204
931.52 795.9505
932.27 795.2808
933.03 794.6113
933.78 793.2842
934.54 791.2105
935.29 789.1375
936.04 787.0651
936.80 784.9933
937.55 782.9221
938.31 780.8969
939.06 779.0011
939.81 777.1058
940.57 775.2112
941.32 773.3171
942.08 771.4236
942.83 769.5551
943.58 768.817
944.34 768.0791
945.09 767.3414
945.85 766.6038
946.60 765.8665
947.35 765.1294
948.11 763.8147
948.86 762.3085
949.62 760.8027
950.37 759.3035
951.12 757.8109
951.88 756.3188
952.63 754.7939
953.39 753.229
954.14 751.6645
954.89 750.1004
955.65 748.5367
956.40 746.9735
957.16 745.481
957.91 744.5283
958.66 743.5758
959.42 742.6236
960.17 741.6716
960.93 740.7199
961.68 739.7684
962.43 738.7003
963.19 737.5938
963.94 736.4875
964.70 735.3816
965.45 734.2759
966.20 733.1705
966.96 732.0954
967.71 731.0751
968.47 730.0552
969.22 729.0354
969.97 728.016
970.73 726.9968
971.48 725.9779
972.24 724.8174
972.99 723.6457
973.74 722.4743
974.50 721.3032
975.25 720.1324
976.01 718.962
976.76 717.8487
977.51 716.8018
978.27 715.7551
979.02 714.7087
979.78 713.6626
980.53 712.6168
981.28 711.5713
982.04 710.4172
982.79 709.26
983.55 708.1031
984.30 706.9465
985.05 705.7903
985.81 704.6343
986.56 703.5153
987.32 702.4426
988.07 701.3702
988.82 700.2981
989.58 699.2263
990.33 698.1547
991.09 697.0834
991.84 696.085
992.59 695.0962
993.35 694.1077
994.10 693.1195
994.86 692.1315
995.61 691.1438
996.36 689.9444
997.12 688.2344
997.87 686.5249
998.63 684.8159
999.38 683.1073
1000.13 681.3993
1000.89 679.6916
1001.64 678.0401
1002.40 676.417
1003.15 674.7943
1003.90 673.172
1004.66 671.5502
1005.41 669.9289
1006.17 668.3155
1006.92 667.6485
1007.67 666.9816
1008.43 666.3149
1009.18 665.6484
1009.94 664.982
1010.69 664.3158
1011.44 663.4804
1012.20 662.2911
1012.95 661.1021
1013.71 659.9134
1014.46 658.725
1015.21 657.537
1015.97 656.3493
1016.72 655.2778
1017.48 654.2839
1018.23 653.2904
1018.98 652.2971
1019.74 651.3041
1020.49 650.3114
1021.25 649.3189
1022.00 648.516
1022.75 647.7507
1023.51 646.9855
1024.26 646.2206
1025.02 645.4558
1025.77 644.6912
1026.52 643.9037
1027.28 642.6263
1028.03 641.3493
1028.79 640.0725
1029.54 638.7962
1030.29 637.5202
1031.05 636.2445
1031.80 634.9702
1032.56 633.6998
1033.31 632.4298
1034.06 631.1601
1034.82 629.8908
1035.57 628.6218
1036.33 627.3531
1037.08 626.1657
1037.83 625.1236
1038.59 624.0817
1039.34 623.0402
1040.10 621.9989
1040.85 620.9579
1041.60 619.9172
1042.36 618.9127
1043.11 617.9505
1043.87 616.9885
1044.62 616.0269
1045.37 615.0654
1046.13 614.1043
1046.88 613.1433
1047.64 612.2034
1048.39 611.2824
1049.14 610.3616
1049.90 609.4411
1050.65 608.5383
1051.41 607.6383
1052.16 606.7386
1052.91 605.6199
1053.67 604.3309
1054.42 603.0423
1055.18 601.7539
1055.93 600.4658
1056.68 599.178
1057.44 597.8904
1058.19 596.5858
1058.95 595.2677
1059.70 593.9499
1060.45 592.6325
1061.21 591.3153
1061.96 589.9984
1062.72 588.6817
1063.47 587.3127
1064.22 585.8973
1064.98 584.4823
1065.73 583.0676
1066.49 581.6531
1067.24 580.239
1067.99 578.8252
1068.75 577.5453
1069.50 576.4214
1070.26 575.2978
1071.01 574.1745
1071.76 573.0514
1072.52 571.9285
1073.27 570.8059
1074.03 569.7096
1074.78 568.6616
1075.53 567.6137
1076.29 566.5661
1077.04 565.5187
1077.80 564.4716
1078.55 563.4246
1079.30 562.3412
1080.06 561.126
1080.81 559.911
1081.57 558.6963
1082.32 557.4818
1083.07 556.2677
1083.83 555.0537
1084.58 553.8374
1085.34 552.5611
1086.09 551.2851
1086.84 550.0094
1087.60 548.7339
1088.35 547.4588
1089.11 546.1839
1089.86 544.9093
1090.61 543.612
1091.37 542.3102
1092.12 541.0087
1092.88 539.7075
1093.63 538.4066
1094.38 537.1059
1095.14 535.8056
1095.89 535.0576
1096.65 534.7212
1097.40 534.3849
1098.15 534.0487
1098.91 533.7125
1099.66 533.3764
1100.42 533.0404
1101.17 532.7346
1101.92 532.5023
1102.68 532.27
1103.43 532.0378
1104.19 531.8056
1104.94 531.5734
1105.69 531.3413
1106.45 531.1092
1107.20 530.4183
1107.96 529.7138
1108.71 529.0095
1109.46 528.3053
1110.22 527.6012
1110.97 526.8973
1111.73 526.1936
1112.48 525.369
1113.23 524.4674
1113.99 523.5659
1114.74 522.6647
1115.50 521.7636
1116.25 520.8627
1117.00 519.9621
1117.76 519.0482
1118.51 518.084
1119.27 517.12
1120.02 516.1562
1120.77 515.1927
1121.53 514.2293
1122.28 513.2662
1123.04 512.3032
1123.79 511.3703
1124.54 510.4458
1125.30 509.5216
1126.05 508.5976
1126.81 507.6737
1127.56 506.7501
1128.31 505.8266
1129.07 504.947
1129.82 504.162
1130.58 503.3772
1131.33 502.5926
1132.08 501.8081
1132.84 501.0238
1133.59 500.2397
1134.35 499.4557
1135.10 498.6991
1135.85 497.9497
1136.61 497.2004
1137.36 496.4513
1138.12 495.7023
1138.87 494.9535
1139.62 494.2049
1140.38 493.5435
1141.13 493.1264
1141.89 492.7095
1142.64 492.2926
1143.39 491.8758
1144.15 491.4591
1144.90 491.0425
1145.66 490.626
1146.41 490.145
1147.16 489.6332
1147.92 489.1215
1148.67 488.6099
1149.43 488.0984
1150.18 487.5889
1150.93 487.0858
1151.69 486.5585
1152.44 485.5725
1153.20 484.5868
1153.95 483.6012
1154.70 482.6158
1155.46 481.6306
1156.21 480.6456
1156.97 479.6608
1157.72 478.6787
1158.47 477.7007
1159.23 476.7229
1159.98 475.7453
1160.74 474.7678
1161.49 473.7906
1162.24 472.8135
1163.00 471.8367
1163.75 471.1495
1164.51 470.5912
1165.26 470.033
1166.01 469.4748
1166.77 468.9168
1167.52 468.3589
1168.28 467.8011
1169.03 467.2434
1169.78 466.5663
1170.54 465.8845
1171.29 465.2028
