# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
411.26 1703.058
412.01 1711.983
412.77 1720.912
413.52 1725.674
414.28 1728.109
415.03 1730.543
415.78 1722.467
416.54 1713.15
417.29 1702.529
418.05 1683.529
418.80 1664.51
419.55 1649.253
420.31 1640.72
421.06 1632.178
421.82 1621.515
422.57 1609.258
423.32 1596.988
424.08 1581.462
424.83 1564.946
425.59 1548.415
426.34 1510.554
427.09 1471.591
427.85 1432.676
428.60 1394.313
429.36 1355.917
430.11 1338.698
430.86 1376.792
431.62 1414.913
432.37 1460.873
433.13 1517.757
433.88 1574.683
434.63 1613.57
435.39 1637.31
436.14 1661.066
436.90 1669.701
437.65 1670.418
438.40 1671.133
439.16 1685.574
439.91 1704.521
440.67 1723.479
441.42 1747.966
442.17 1773.544
442.93 1799.137
443.68 1813.872
444.44 1827.483
445.19 1841.102
445.94 1864.382
446.70 1888.091
447.45 1911.814
448.21 1938.814
448.96 1965.835
449.71 1992.308
450.47 1993.939
451.22 1995.896
451.98 1997.648
452.73 1993.137
453.48 1988.622
454.24 1984.494
454.99 1994.633
455.75 2004.778
456.50 2014.878
457.25 2015.506
458.01 2016.135
458.76 2016.763
459.52 2015.695
460.27 2014.574
461.02 2013.451
461.78 2012.974
462.53 2012.555
463.29 2012.135
464.04 2013.565
464.79 2015.318
465.55 2017.072
466.30 2018.424
467.06 2019.656
467.81 2020.888
468.56 2019.226
469.32 2016.151
470.07 2013.074
470.83 2015.137
471.58 2021.246
472.33 2027.359
473.09 2035.266
473.84 2045.541
474.60 2055.822
475.35 2064.293
476.10 2068.248
476.86 2072.205
477.61 2075.397
478.37 2073.329
479.12 2071.26
479.87 2069.189
480.63 2060.712
481.38 2051.898
482.14 2043.079
482.89 2019.169
483.64 1990.477
484.40 1961.768
485.15 1939.899
485.91 1923.591
486.66 1907.272
487.41 1900.754
488.17 1914.254
488.92 1927.762
489.68 1940.845
490.43 1949.492
491.18 1958.144
491.94 1966.801
492.69 1974.67
493.45 1982.385
494.20 1990.105
494.95 1989.793
495.71 1983.159
496.46 1976.52
497.22 1967.223
497.97 1950.768
498.72 1934.302
499.48 1917.826
500.23 1913.601
500.99 1909.711
501.74 1905.82
502.49 1911.146
503.25 1921.59
504.00 1932.039
504.76 1941.587
505.51 1949.078
506.26 1956.572
507.02 1964.069
507.77 1963.19
508.53 1961.865
509.28 1960.54
510.03 1954.633
510.79 1945.362
511.54 1936.086
512.30 1923.955
513.05 1899.525
513.80 1875.085
514.56 1850.632
515.31 1826.586
516.07 1802.644
516.82 1778.691
517.57 1766.917
518.33 1776.994
519.08 1787.076
519.84 1797.162
520.59 1816.483
521.34 1836.639
522.10 1856.805
522.85 1867.745
523.61 1867.857
524.36 1867.968
525.11 1868.079
525.87 1870.429
526.62 1872.813
527.38 1875.198
528.13 1881.503
528.88 1891.835
529.64 1902.171
530.39 1912.513
531.15 1908.293
531.90 1903.836
532.65 1899.376
533.41 1898.487
534.16 1901.857
534.92 1905.228
535.67 1908.6
536.42 1908.944
537.18 1908.993
537.93 1909.041
538.69 1907.466
539.44 1902.838
540.19 1898.209
540.95 1893.578
541.70 1896.22
542.46 1901.079
543.21 1905.94
543.96 1910.211
544.72 1911.556
545.47 1912.902
546.23 1914.248
546.98 1913.211
547.73 1910.238
548.49 1907.263
549.24 1904.286
550.00 1904.915
550.75 1905.646
551.50 1906.375
552.26 1906.608
553.01 1905.459
553.77 1904.309
554.52 1903.16
555.27 1898.876
556.03 1892.428
556.78 1885.978
557.54 1879.526
558.29 1878.401
559.04 1877.856
559.80 1877.31
560.55 1877.281
561.31 1879.403
562.06 1881.526
562.81 1883.649
563.57 1883.773
564.32 1881.615
565.08 1879.456
565.83 1877.296
566.58 1876.887
567.34 1877.158
568.09 1877.429
568.85 1877.7
569.60 1881.461
570.35 1885.381
571.11 1889.303
571.86 1892.821
572.62 1894.401
573.37 1895.981
574.12 1897.561
574.88 1897.426
575.63 1894.371
576.39 1891.314
577.14 1888.258
577.89 1886.79
578.65 1886.629
579.40 1886.467
580.16 1886.305
580.91 1885.789
581.66 1885.127
582.42 1884.465
583.17 1883.803
583.93 1876.787
584.68 1868.638
585.43 1860.487
586.19 1852.334
586.94 1843.529
587.70 1834.702
588.45 1825.873
589.20 1817.83
589.96 1820
590.71 1822.17
591.47 1824.34
592.22 1826.735
592.97 1830.374
593.73 1834.014
594.48 1837.655
595.24 1839.999
595.99 1837.601
596.74 1835.202
597.50 1832.802
598.25 1829.939
599.01 1825.739
599.76 1821.538
600.51 1817.298
601.27 1814.173
602.02 1813.962
602.78 1813.751
603.53 1813.54
604.28 1812.607
605.04 1809.842
605.79 1807.076
606.55 1804.31
607.30 1800.034
608.05 1791.575
608.81 1783.114
609.56 1774.652
610.32 1765.856
611.07 1755.932
611.82 1746.006
612.58 1736.078
613.33 1727.152
614.09 1723.127
614.84 1719.102
615.59 1715.076
616.35 1711.677
617.10 1714.517
617.86 1717.357
618.61 1720.197
619.36 1723.038
620.12 1720.638
620.87 1718.203
621.63 1715.767
622.38 1713.332
623.13 1710.084
623.89 1706.72
624.64 1703.355
625.40 1699.989
626.15 1699.484
626.90 1700.012
627.66 1700.54
628.41 1701.068
629.17 1699.498
629.92 1696.365
630.67 1693.231
631.43 1690.096
632.18 1687.202
632.94 1684.68
633.69 1682.157
634.44 1679.634
635.20 1677.288
635.95 1675.7
636.71 1674.111
637.46 1672.522
638.21 1670.933
638.97 1667.577
639.72 1664.159
640.48 1660.742
641.23 1657.324
641.98 1654.152
642.74 1651.076
643.49 1647.999
644.25 1644.922
645.00 1641.911
645.75 1638.98
646.51 1636.048
647.26 1633.116
648.02 1630.164
648.77 1627.116
649.52 1624.068
650.28 1620.993
651.03 1617.872
651.79 1609.896
652.54 1601.125
653.29 1592.354
654.05 1583.582
654.80 1577.24
655.56 1573.06
656.31 1568.88
657.06 1564.699
657.82 1562.4
658.57 1568.884
659.33 1575.369
660.08 1581.854
660.83 1588.34
661.59 1590.576
662.34 1591.765
663.10 1592.955
663.85 1594.144
664.60 1594.021
665.36 1591.985
666.11 1589.949
666.87 1587.913
667.62 1585.877
668.37 1583.23
669.13 1580.576
669.88 1577.922
670.64 1575.268
671.39 1572.689
672.14 1570.173
672.90 1567.657
673.65 1565.141
674.41 1562.615
675.16 1559.986
675.91 1557.357
676.67 1554.728
677.42 1552.099
678.18 1549.18
678.93 1546.069
679.68 1542.958
680.44 1539.847
681.19 1536.749
681.95 1533.776
682.70 1530.802
683.45 1527.828
684.21 1524.855
684.96 1522.582
685.72 1520.85
686.47 1519.117
687.22 1517.385
687.98 1515.648
688.73 1513.619
689.49 1511.59
690.24 1509.561
690.99 1507.531
691.75 1505.082
692.50 1502.091
693.26 1499.1
694.01 1496.109
694.76 1493.117
695.52 1489.682
696.27 1486.161
697.03 1482.64
697.78 1479.118
698.53 1475.614
699.29 1472.171
700.04 1468.725
700.80 1465.237
701.55 1461.75
702.30 1459.198
703.06 1457.344
703.81 1455.489
704.57 1453.635
705.32 1451.78
706.07 1449.396
706.83 1446.955
707.58 1444.514
708.34 1442.073
709.09 1439.319
709.84 1435.41
710.60 1431.501
711.35 1427.591
712.11 1423.682
712.86 1419.489
713.61 1415.01
714.37 1410.531
715.12 1406.052
715.88 1401.574
716.63 1398.225
717.38 1395.234
718.14 1392.243
718.89 1389.251
719.65 1386.26
720.40 1385.673
721.15 1385.09
721.91 1384.507
722.66 1383.923
723.42 1383.082
724.17 1381.282
724.92 1379.482
725.68 1377.683
726.43 1375.883
727.19 1373.715
727.94 1371
728.69 1368.285
729.45 1365.57
730.20 1362.855
730.96 1360.767
731.71 1359.158
732.46 1357.548
733.22 1355.939
733.97 1354.329
734.73 1351.305
735.48 1347.703
736.23 1344.1
736.99 1340.497
737.74 1336.894
738.50 1333.306
739.25 1329.721
740.00 1326.135
740.76 1322.55
741.51 1318.965
742.27 1318.05
743.02 1317.371
743.77 1316.691
744.53 1316.011
745.28 1315.332
746.04 1314.433
746.79 1313.532
747.54 1312.63
748.30 1311.729
749.05 1310.808
749.81 1309.238
750.56 1307.639
751.31 1306.031
752.07 1304.422
752.82 1302.795
753.58 1300.805
754.33 1298.814
755.08 1296.823
755.84 1294.833
756.59 1292.824
757.35 1290.399
758.10 1287.975
758.85 1285.55
759.61 1283.126
760.36 1280.697
761.12 1277.899
761.87 1275.101
762.62 1272.303
763.38 1269.506
764.13 1266.709
764.89 1263.924
765.64 1261.141
766.39 1258.358
767.15 1255.575
767.90 1252.792
768.66 1250.689
769.41 1248.684
770.16 1246.68
770.92 1244.677
771.67 1242.673
772.43 1241.176
773.18 1239.835
773.93 1238.494
774.69 1237.153
775.44 1235.812
776.20 1234.44
776.95 1233.052
777.70 1231.663
778.46 1230.275
779.21 1228.887
779.97 1227.121
780.72 1224.932
781.47 1222.744
782.23 1220.555
782.98 1218.367
783.74 1216.136
784.49 1213.798
785.24 1211.461
786.00 1209.124
786.75 1206.787
787.51 1204.369
788.26 1200.979
789.01 1197.589
789.77 1194.199
790.52 1190.81
791.28 1187.42
792.03 1184.801
792.78 1182.329
793.54 1179.857
794.29 1177.385
795.05 1174.913
795.80 1173.3
796.55 1172.317
797.31 1171.333
798.06 1170.35
798.82 1169.367
799.57 1168.055
800.32 1165.915
801.08 1163.766
801.83 1161.617
802.59 1159.468
803.34 1157.319
804.09 1154.978
804.85 1152.632
805.60 1150.285
806.36 1147.939
807.11 1145.593
807.86 1143.679
808.62 1142.02
809.37 1140.361
810.13 1138.702
810.88 1137.043
811.63 1135.199
812.39 1132.826
813.14 1130.453
813.90 1128.08
814.65 1125.708
815.40 1123.336
816.16 1119.822
816.91 1116.127
817.67 1112.432
818.42 1108.737
819.17 1105.043
819.93 1102.299
820.68 1100.768
821.44 1099.238
822.19 1097.708
822.94 1096.178
823.70 1094.648
824.45 1093.678
825.21 1092.715
825.96 1091.752
826.71 1090.789
827.47 1089.826
828.22 1088.015
828.98 1085.389
829.73 1082.763
830.48 1080.138
831.24 1077.512
831.99 1074.889
832.75 1072.931
833.50 1070.973
834.25 1069.014
835.01 1067.056
835.76 1065.098
836.52 1063.263
837.27 1061.565
838.02 1059.867
838.78 1058.17
839.53 1056.472
840.29 1054.775
841.04 1052.135
841.79 1049.401
842.55 1046.668
843.30 1043.935
844.06 1041.203
844.81 1037.633
845.56 1032.291
846.32 1026.95
847.07 1021.609
847.83 1016.269
848.58 1010.929
849.33 1005.435
850.09 999.874
850.84 994.3008
851.60 988.7282
852.35 983.1563
853.10 977.9696
853.86 978.8414
854.61 979.7131
855.37 980.5847
856.12 981.4561
856.87 982.3275
857.63 983.0466
858.38 983.5236
859.14 984.0005
859.89 984.4773
