# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
410.51 1660.039
411.26 1675.307
412.01 1684.197
412.77 1693.094
413.52 1697.892
414.28 1700.402
415.03 1702.911
415.78 1695.078
416.54 1686.023
417.29 1675.684
418.05 1657.097
418.80 1638.489
419.55 1623.582
420.31 1615.293
421.06 1606.995
421.82 1596.607
422.57 1584.649
423.32 1572.678
424.08 1557.497
424.83 1541.341
425.59 1525.167
426.34 1487.98
427.09 1449.703
427.85 1411.468
428.60 1373.771
429.36 1336.037
430.11 1319.167
430.86 1356.803
431.62 1394.473
432.37 1439.874
433.13 1496.051
433.88 1552.277
434.63 1590.729
435.39 1614.253
436.14 1637.796
436.90 1646.433
437.65 1647.264
438.40 1648.093
439.16 1662.461
439.91 1681.276
440.67 1700.105
441.42 1724.391
442.17 1749.758
442.93 1775.145
443.68 1789.821
444.44 1803.392
445.19 1816.972
445.94 1840.091
446.70 1863.637
447.45 1887.2
448.21 1914.004
448.96 1940.832
449.71 1967.124
450.47 1967.238
451.22 1969.426
451.98 1971.412
452.73 1967.217
453.48 1963.018
454.24 1959.198
454.99 1969.465
455.75 1979.74
456.50 1989.974
457.25 1990.853
458.01 1991.732
458.76 1992.611
459.52 1991.815
460.27 1990.965
461.02 1990.114
461.78 1989.9
462.53 1989.743
463.29 1989.585
464.04 1991.256
464.79 1993.248
465.55 1995.24
466.30 1996.835
467.06 1998.311
467.81 1999.787
468.56 1998.399
469.32 1995.613
470.07 1992.823
470.83 1995.121
471.58 2001.427
472.33 2007.737
473.09 2015.825
473.84 2026.261
474.60 2036.705
475.35 2045.36
476.10 2049.54
476.86 2053.723
477.61 2057.148
478.37 2055.361
479.12 2053.571
479.87 2051.779
480.63 2043.632
481.38 2035.15
482.14 2026.66
482.89 2003.197
483.64 1974.982
484.40 1946.743
485.15 1925.285
485.91 1909.341
486.66 1893.383
487.41 1887.15
488.17 1900.793
488.92 1914.448
489.68 1927.683
490.43 1936.515
491.18 1945.354
491.94 1954.2
492.69 1962.266
493.45 1970.179
494.20 1978.099
494.95 1978.038
495.71 1971.689
496.46 1965.334
497.22 1956.336
497.97 1940.214
498.72 1924.077
499.48 1907.926
500.23 1903.933
500.99 1900.211
501.74 1896.487
502.49 1901.936
503.25 1912.479
504.00 1923.027
504.76 1932.682
505.51 1940.289
506.26 1947.901
507.02 1955.517
507.77 1954.793
508.53 1953.626
509.28 1952.458
510.03 1946.726
510.79 1937.643
511.54 1928.554
512.30 1916.618
513.05 1892.428
513.80 1868.223
514.56 1844.003
515.31 1820.183
516.07 1796.464
516.82 1772.73
517.57 1761.131
518.33 1771.312
519.08 1781.499
519.84 1791.691
520.59 1811.093
521.34 1831.331
522.10 1851.58
522.85 1862.633
523.61 1862.887
524.36 1863.141
525.11 1863.395
525.87 1865.883
526.62 1868.404
527.38 1870.927
528.13 1877.361
528.88 1887.814
529.64 1898.274
530.39 1908.74
531.15 1904.675
531.90 1900.371
532.65 1896.064
533.41 1895.321
534.16 1898.83
534.92 1902.341
535.67 1905.853
536.42 1906.342
537.18 1906.536
537.93 1906.729
538.69 1905.3
539.44 1900.823
540.19 1896.342
540.95 1891.859
541.70 1894.642
542.46 1899.642
543.21 1904.644
543.96 1909.056
544.72 1910.545
545.47 1912.035
546.23 1913.525
546.98 1912.633
547.73 1909.805
548.49 1906.974
549.24 1904.141
550.00 1904.915
550.75 1905.846
551.50 1906.776
552.26 1907.211
553.01 1906.262
553.77 1905.313
554.52 1904.363
555.27 1900.277
556.03 1894.023
556.78 1887.767
557.54 1881.507
558.29 1880.579
559.04 1880.23
559.80 1879.881
560.55 1880.05
561.31 1882.373
562.06 1884.697
562.81 1887.022
563.57 1887.345
564.32 1885.38
565.08 1883.414
565.83 1881.448
566.58 1881.235
567.34 1881.704
568.09 1882.173
568.85 1882.641
569.60 1886.609
570.35 1890.738
571.11 1894.869
571.86 1898.597
572.62 1900.38
573.37 1902.164
574.12 1903.948
574.88 1904.012
575.63 1901.144
576.39 1898.275
577.14 1895.405
577.89 1894.13
578.65 1894.165
579.40 1894.2
580.16 1894.235
580.91 1893.915
581.66 1893.447
582.42 1892.979
583.17 1892.511
583.93 1885.659
584.68 1877.666
585.43 1869.67
586.19 1861.671
586.94 1853.014
587.70 1844.334
588.45 1835.649
589.20 1827.753
589.96 1830.124
590.71 1832.497
591.47 1834.87
592.22 1837.469
592.97 1841.32
593.73 1845.174
594.48 1849.028
595.24 1851.578
595.99 1849.356
596.74 1847.133
597.50 1844.909
598.25 1842.218
599.01 1838.18
599.76 1834.139
600.51 1830.153
601.27 1827.331
602.02 1827.443
602.78 1827.555
603.53 1827.667
604.28 1827.052
605.04 1824.588
605.79 1822.124
606.55 1819.657
607.30 1815.667
608.05 1807.455
608.81 1799.238
609.56 1791.017
610.32 1782.456
611.07 1772.752
611.82 1763.043
612.58 1753.329
613.33 1744.623
614.09 1740.865
614.84 1737.105
615.59 1733.344
616.35 1730.215
617.10 1733.391
617.86 1736.569
618.61 1739.748
619.36 1742.929
620.12 1740.808
620.87 1738.651
621.63 1736.493
622.38 1734.333
623.13 1731.352
623.89 1728.25
624.64 1725.146
625.40 1722.04
626.15 1721.832
626.90 1722.669
627.66 1723.507
628.41 1724.345
629.17 1723.057
629.92 1720.182
630.67 1717.306
631.43 1714.428
632.18 1711.792
632.94 1709.533
633.69 1707.273
634.44 1705.011
635.20 1702.928
635.95 1701.614
636.71 1700.298
637.46 1698.982
638.21 1697.665
638.97 1694.551
639.72 1691.375
640.48 1688.196
641.23 1685.016
641.98 1682.086
642.74 1679.251
643.49 1676.415
644.25 1673.577
645.00 1670.805
645.75 1668.113
646.51 1665.42
647.26 1662.725
648.02 1660.009
648.77 1657.194
649.52 1654.378
650.28 1651.578
651.03 1648.807
651.79 1641.085
652.54 1632.549
653.29 1624.008
654.05 1615.462
654.80 1609.391
655.56 1605.523
656.31 1601.653
657.06 1597.78
657.82 1595.827
658.57 1602.847
659.33 1609.87
660.08 1616.896
660.83 1623.927
661.59 1626.615
662.34 1628.233
663.10 1629.852
663.85 1631.471
664.60 1631.747
665.36 1630.065
666.11 1628.382
666.87 1626.698
667.62 1625.012
668.37 1622.699
669.13 1620.378
669.88 1618.055
670.64 1615.731
671.39 1613.484
672.14 1611.299
672.90 1609.112
673.65 1606.924
674.41 1604.725
675.16 1602.419
675.91 1600.111
676.67 1597.802
677.42 1595.491
678.18 1592.881
678.93 1590.073
679.68 1587.263
680.44 1584.451
681.19 1581.65
681.95 1578.977
682.70 1576.301
683.45 1573.624
684.21 1570.946
684.96 1568.988
685.72 1567.587
686.47 1566.184
687.22 1564.78
687.98 1563.371
688.73 1561.66
689.49 1559.947
690.24 1558.233
690.99 1556.518
691.75 1554.369
692.50 1551.658
693.26 1548.946
694.01 1546.232
694.76 1543.516
695.52 1540.34
696.27 1537.074
697.03 1533.805
697.78 1530.535
698.53 1527.28
699.29 1524.087
700.04 1520.895
700.80 1517.764
701.55 1514.629
702.30 1512.463
703.06 1511.017
703.81 1509.571
704.57 1508.123
705.32 1506.674
706.07 1504.674
706.83 1502.613
707.58 1500.551
708.34 1498.487
709.09 1496.096
709.84 1492.502
710.60 1488.906
711.35 1485.307
712.11 1481.706
712.86 1477.806
713.61 1473.606
714.37 1469.403
715.12 1465.198
715.88 1460.989
716.63 1457.956
717.38 1455.294
718.14 1452.629
718.89 1449.963
719.65 1447.294
720.40 1447.135
721.15 1446.979
721.91 1446.822
722.66 1446.665
723.42 1446.238
724.17 1444.808
724.92 1443.377
725.68 1441.945
726.43 1440.511
727.19 1438.692
727.94 1436.297
728.69 1433.9
729.45 1431.501
730.20 1429.101
730.96 1427.357
731.71 1426.114
732.46 1424.869
733.22 1423.623
733.97 1422.377
734.73 1419.643
735.48 1416.299
736.23 1412.952
736.99 1409.604
737.74 1406.252
738.50 1402.914
739.25 1399.577
740.00 1396.237
740.76 1392.895
741.51 1389.551
742.27 1389.018
743.02 1388.733
743.77 1388.447
744.53 1388.161
745.28 1387.875
746.04 1387.357
746.79 1386.835
747.54 1386.313
748.30 1385.79
749.05 1385.245
749.81 1384.015
750.56 1382.682
751.31 1381.314
752.07 1379.945
752.82 1378.555
753.58 1376.78
754.33 1375.004
755.08 1373.227
755.84 1371.449
756.59 1369.65
757.35 1367.41
758.10 1365.169
758.85 1362.926
759.61 1360.683
760.36 1358.433
761.12 1355.791
761.87 1353.147
762.62 1350.503
763.38 1347.857
764.13 1345.209
764.89 1342.575
765.64 1339.94
766.39 1337.303
767.15 1334.666
767.90 1332.027
768.66 1330.109
769.41 1328.296
770.16 1326.482
770.92 1324.667
771.67 1322.851
772.43 1321.575
773.18 1320.463
773.93 1319.35
774.69 1318.237
775.44 1317.123
776.20 1315.977
776.95 1314.811
777.70 1313.645
778.46 1312.478
779.21 1311.31
779.97 1309.738
780.72 1307.715
781.47 1305.691
782.23 1303.665
782.98 1301.639
783.74 1299.566
784.49 1297.378
785.24 1295.188
786.00 1292.998
786.75 1290.807
787.51 1288.528
788.26 1285.208
789.01 1281.886
789.77 1278.563
790.52 1275.238
791.28 1271.912
792.03 1269.408
792.78 1267.061
793.54 1264.714
794.29 1262.365
795.05 1260.015
795.80 1258.584
796.55 1257.829
797.31 1257.073
798.06 1256.317
798.82 1255.56
799.57 1254.45
800.32 1252.443
801.08 1250.416
801.83 1248.387
802.59 1246.358
803.34 1244.328
804.09 1242.091
804.85 1239.846
805.60 1237.6
806.36 1235.354
807.11 1233.106
807.86 1231.323
808.62 1229.812
809.37 1228.302
810.13 1226.79
810.88 1225.278
811.63 1223.567
812.39 1221.283
813.14 1218.998
813.90 1216.713
814.65 1214.427
815.40 1212.139
816.16 1208.62
816.91 1204.902
817.67 1201.182
818.42 1197.461
819.17 1193.739
819.93 1191.041
820.68 1189.655
821.44 1188.267
822.19 1186.879
822.94 1185.491
823.70 1184.102
824.45 1183.318
825.21 1182.54
825.96 1181.763
826.71 1180.985
827.47 1180.206
828.22 1178.51
828.98 1175.928
829.73 1173.346
830.48 1170.763
831.24 1168.178
831.99 1165.596
832.75 1163.732
833.50 1161.868
834.25 1160.003
835.01 1158.138
835.76 1156.271
836.52 1154.537
837.27 1152.951
838.02 1151.364
838.78 1149.777
839.53 1148.189
840.29 1146.601
841.04 1143.986
841.79 1141.269
842.55 1138.551
843.30 1135.832
844.06 1133.112
844.81 1129.479
845.56 1123.915
846.32 1118.349
847.07 1112.782
847.83 1107.212
848.58 1101.64
849.33 1095.897
850.09 1090.083
850.84 1084.28
851.60 1078.474
852.35 1072.667
853.10 1067.276
853.86 1068.496
854.61 1069.717
855.37 1070.938
856.12 1072.159
856.87 1073.381
857.63 1074.437
858.38 1075.228
859.14 1076.02
859.89 1076.812
860.64 1077.604
861.40 1078.397
862.15 1075.595
862.91 1071.133
863.66 1066.67
864.41 1062.205
865.17 1057.738
865.92 1053.269
