# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, unpolarized light
# (Similar grating is used in Keck+NIRES and Gemini+GNIRS)
# Synthesized from S-pol and P-pol lines on Newport grating specsheet at
# https://www.gratinglab.com/Products/Product_Tables/Efficiency/Efficiency.aspx?catalog=53-*-138R
Wavelength [um],Relative Efficiency [%]
1.300,0.00000000000000000
1.301,0.00000000000000000
1.302,0.00000000000000000
1.303,0.00000000000000000
1.304,0.00000000000000000
1.305,0.00000000000000000
1.306,0.00000000000000000
1.307,0.00000000000000000
1.308,0.00000000000000000
1.309,0.00000000000000000
1.310,0.00000000000000000
1.311,0.00000000000000000
1.312,0.00000000000000000
1.313,0.00000000000000000
1.314,0.00000000000000000
1.315,0.00000000000000000
1.316,0.00000000000000000
1.317,0.00000000000000000
1.318,0.00000000000000000
1.319,0.00000000000000000
1.320,0.00000000000000000
1.321,0.00000000000000000
1.322,0.00000000000000000
1.323,0.00000000000000000
1.324,0.00000000000000000
1.325,0.00000000000000000
1.326,0.00000000000000000
1.327,0.00000000000000000
1.328,0.00000000000000000
1.329,0.00000000000000000
1.330,0.00000000000000000
1.331,0.00000000000000000
1.332,0.00000000000000000
1.333,0.00000000000000000
1.334,0.00000000000000000
1.335,0.00000000000000000
1.336,0.00000000000000000
1.337,0.00000000000000000
1.338,0.00000000000000000
1.339,0.00000000000000000
1.340,0.00000000000000000
1.341,0.00000000000000000
1.342,0.00000000000000000
1.343,0.00000000000000000
1.344,0.00000000000000000
1.345,0.00000000000000000
1.346,0.00000000000000000
1.347,0.00000000000000000
1.348,0.00000000000000000
1.349,0.00000000000000000
1.350,0.00000000000000000
1.351,0.00000000000000000
1.352,0.00000000000000000
1.353,0.00000000000000000
1.354,0.00000000000000000
1.355,0.00000000000000000
1.356,0.00000000000000000
1.357,0.00000000000000000
1.358,0.00000000000000000
1.359,0.00000000000000000
1.360,0.00000000000000000
1.361,0.00000000000000000
1.362,0.00000000000000000
1.363,0.00000000000000000
1.364,0.00000000000000000
1.365,0.00000000000000000
1.366,0.00000000000000000
1.367,0.00000000000000000
1.368,0.00000000000000000
1.369,0.00000000000000000
1.370,0.00000000000000000
1.371,0.01934052710297607
1.372,0.01934052710297607
1.373,0.08715816191532899
1.374,0.26162526938855141
1.375,0.43609237686177388
1.376,0.61055948433502805
1.377,0.78502659180825041
1.378,0.95949369928150452
1.379,1.13396080675472732
1.380,1.30842791422794935
1.381,1.48289502170120380
1.382,1.65736212917442649
1.383,1.83182923664768071
1.384,2.00629634412090274
1.385,2.18076345159412543
1.386,2.35523055906737966
1.387,2.52969766654060191
1.388,2.70416477401385613
1.389,2.87863188148707883
1.390,3.05309898896030063
1.391,3.22756609643355530
1.392,3.40203320390677844
1.393,3.57650031138003133
1.394,3.75096741885325446
1.395,3.92543452632647671
1.396,4.09990163379973094
1.397,4.27436874127295319
