# ThorLabs 400nm longpass cutoff filter
#Wavelength [nm], Transmission[%]
624,94.259002
625,94.224333
626,94.247217
627,94.124673
628,93.980917
629,93.926097
630,93.873339
631,93.806451
632,93.904053
633,93.995468
634,94.101604
635,94.248073
636,94.307887
637,94.311974
638,94.329601
639,94.255068
640,94.12525
641,94.013863
642,93.916231
643,93.853998
644,93.886609
645,93.952964
646,94.073741
647,94.203226
648,94.303422
649,94.414509
650,94.526094
651,94.513651
652,94.518753
653,94.442771
654,94.323921
655,94.247162
656,94.218289
657,94.24286
658,94.245902
659,94.309856
660,94.402059
661,94.568148
662,94.662093
663,94.782219
664,94.822238
665,94.785791
666,94.702642
667,94.660938
668,94.576718
669,94.52883
670,94.505713
671,94.474773
672,94.507238
673,94.600646
674,94.760027
675,94.913452
676,95.019993
677,95.137033
678,95.171479
679,95.21194
680,95.206068
681,95.189065
682,95.065749
683,94.962159
684,94.889007
685,94.864714
686,94.906706
687,94.982
688,95.065983
689,95.180997
690,95.267748
691,95.428498
692,95.561718
693,95.596978
694,95.592197
695,95.540276
696,95.467565
697,95.381131
698,95.325733
699,95.255596
700,95.169449
701,95.153707
702,95.195442
703,95.285739
704,95.410413
705,95.509699
706,95.623356
707,95.735637
708,95.818999
709,95.882256
710,95.882368
711,95.869792
712,95.77138
713,95.699143
714,95.589448
715,95.523459
716,95.472657
717,95.455201
718,95.430504
719,95.505299
720,95.561217
721,95.630456
722,95.785544
723,95.870288
724,95.915923
725,95.978957
726,95.95149
727,95.940629
728,95.914752
729,95.836429
730,95.729653
731,95.654675
732,95.530039
733,95.47343
734,95.519672
735,95.508976
736,95.503943
737,95.604724
738,95.640671
739,95.736027
740,95.840103
741,95.914597
742,95.917986
743,95.922193
744,95.87384
745,95.805679
746,95.778477
747,95.654436
748,95.550738
749,95.440189
750,95.34961
751,95.300672
752,95.259078
753,95.280372
754,95.318889
755,95.427603
756,95.484485
757,95.554099
758,95.702418
759,95.743938
760,95.79002
761,95.830067
762,95.827131
763,95.759186
764,95.733557
765,95.634186
766,95.509464
767,95.410236
768,95.302647
769,95.216756
770,95.21716
771,95.192898
772,95.186282
773,95.213584
774,95.229402
775,95.31415
776,95.423106
777,95.463158
778,95.518279
779,95.576408
780,95.544249
781,95.555422
782,95.563549
783,95.478976
784,95.380661
785,95.299907
786,95.188395
787,95.082229
788,95.031396
789,94.930225
790,94.896326
791,94.883917
792,94.859195
793,94.925851
794,95.036927
795,95.091872
796,95.169558
797,95.256053
798,95.284056
799,95.319324
800,95.400083
801,95.385615
802,95.380586
803,95.328363
804,95.208173
805,95.146642
806,95.071418
807,94.949114
808,94.861646
809,94.810645
810,94.735589
811,94.666263
812,94.664814
813,94.646761
814,94.703285
815,94.787986
816,94.841851
817,94.92128
818,94.987651
819,95.048545
820,95.119993
821,95.212497
822,95.204106
823,95.223203
824,95.193076
825,95.109876
826,95.096526
827,95.088409
828,94.98426
829,94.931659
830,94.859808
831,94.798167
832,94.766012
833,94.769449
834,94.74817
835,94.754809
836,94.790086
837,94.83221
838,94.926187
839,95.045941
840,95.071387
841,95.127924
842,95.214814
843,95.247893
844,95.296397
845,95.374426
846,95.352838
847,95.324889
848,95.296791
849,95.228569
850,95.160048
851,95.160193
852,95.086243
853,94.969913
854,94.926121
855,94.934429
856,94.90189
857,94.886516
858,94.888356
859,94.826404
860,94.786457
861,94.786557
862,94.832442
863,94.905778
864,94.964304
865,95.014112
866,95.050088
867,95.074934
868,95.085885
869,95.114382
870,95.136865
871,95.124587
872,95.104083
873,95.081023
874,95.056517
875,95.012876
876,94.969695
877,94.906888
878,94.86996
879,94.869471
880,94.864446
881,94.835452
882,94.835402
883,94.870291
884,94.904404
885,94.946761
886,95.006699
887,95.077804
888,95.141234
889,95.194465
890,95.263062
891,95.306822
892,95.359182
893,95.401408
894,95.414272
895,95.409527
896,95.431185
897,95.433993
898,95.400241
899,95.349107
900,95.312329
901,95.306668
902,95.273497
903,95.223512
904,95.187018
905,95.150371
906,95.115734
907,95.098407
908,95.105764
909,95.123217
910,95.168941
911,95.214706
912,95.256726
913,95.323489
914,95.404863
915,95.475569
916,95.543411
917,95.594065
918,95.639477
919,95.730164
920,95.765814
921,95.75735
922,95.783882
923,95.757473
924,95.711291
925,95.712353
926,95.711667
927,95.689346
928,95.623668
929,95.589783
930,95.545701
931,95.504165
932,95.522105
933,95.483399
934,95.474299
935,95.46075
936,95.456612
937,95.50636
938,95.561614
939,95.613
940,95.681198
941,95.719855
942,95.769537
943,95.869213
944,95.929453
945,95.981094
946,96.04258
947,96.107109
948,96.160172
949,96.181435
950,96.184131
951,96.197291
952,96.182433
953,96.146225
954,96.133808
955,96.10995
956,96.103225
957,96.058257
958,95.992012
959,95.934938
960,95.883854
961,95.879786
962,95.875201
963,95.886773
964,95.876121
965,95.855412
966,95.864833
967,95.899428
968,95.930619
969,95.968052
970,96.044906
971,96.129296
972,96.165409
973,96.219726
974,96.294642
975,96.371257
976,96.385051
977,96.415418
978,96.474937
979,96.527451
980,96.555078
981,96.57372
982,96.575002
983,96.520024
984,96.530688
985,96.524594
986,96.496221
987,96.463305
988,96.391472
989,96.337454
990,96.276771
991,96.218333
992,96.199955
993,96.18532
994,96.173119
995,96.178621
996,96.133465
997,96.160553
998,96.194858
999,96.227712
1000,96.216228
1001,96.27875
1002,96.305048
1003,96.386322
1004,96.436214
1005,96.449545
1006,96.515922
1007,96.558336
1008,96.609815
1009,96.664656
1010,96.670612
1011,96.720201
1012,96.718285
1013,96.722343
1014,96.717689
1015,96.685617
1016,96.658985
1017,96.650244
1018,96.650034
1019,96.6156
1020,96.584469
1021,96.534742
1022,96.436409
1023,96.406698
1024,96.343564
1025,96.313447
1026,96.280459
1027,96.256178
1028,96.253157
1029,96.255145
1030,96.243283
1031,96.241079
1032,96.243321
1033,96.237084
1034,96.298376
1035,96.319881
1036,96.359875
1037,96.40207
1038,96.489829
1039,96.498839
1040,96.548821
1041,96.585178
1042,96.625083
1043,96.716939
1044,96.747273
1045,96.750734
1046,96.750212
1047,96.726149
1048,96.764427
1049,96.764718
1050,96.755158
1051,96.737012
1052,96.684004
1053,96.650705
1054,96.643261
1055,96.571011
1056,96.530432
1057,96.491809
1058,96.452594
1059,96.410823
1060,96.373031
1061,96.30773
1062,96.260435
1063,96.25833
1064,96.208695
1065,96.213634
1066,96.178439
1067,96.204442
1068,96.219362
1069,96.207372
1070,96.225233
1071,96.262584
1072,96.280474
1073,96.350626
1074,96.35258
1075,96.383314
1076,96.448644
1077,96.491892
1078,96.533093
1079,96.566158
1080,96.610865
1081,96.641817
1082,96.657409
1083,96.654868
1084,96.686466
1085,96.703398
1086,96.679088
1087,96.677877
1088,96.634193
1089,96.61649
1090,96.605944
1091,96.588184
1092,96.519644
1093,96.458948
1094,96.411802
1095,96.382034
1096,96.299641
1097,96.256253
1098,96.19879
1099,96.191998
1100,96.186552
1101,96.133183
1102,96.061808
1103,96.062429
1104,96.042159
1105,96.035517
1106,96.027601
1107,96.046557
1108,96.054938
1109,96.069479
1110,96.072529
1111,96.089533
1112,96.119136
1113,96.128619
1114,96.159254
1115,96.186281
1116,96.247692
1117,96.278442
1118,96.304146
1119,96.342618
1120,96.358008
1121,96.398597
1122,96.40416
1123,96.413981
1124,96.439797
1125,96.449351
1126,96.4427
1127,96.398838
1128,96.391373
1129,96.371415
1130,96.344324
1131,96.320709
1132,96.27611
1133,96.246687
1134,96.176711
1135,96.174562
1136,96.100164
1137,96.05588
1138,95.998874
1139,95.96307
1140,95.936756
1141,95.886158
1142,95.87005
1143,95.851506
1144,95.822994
1145,95.787513
1146,95.767464
1147,95.764917
1148,95.762075
1149,95.772368
