# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, S-polarized light
Wavelength[um], Relative Efficiency[%]
1.4429287970973688, -0.15974536667773975
1.4983057634021368, 19.902746001548365
1.5986208432319942, 55.29372656038415
1.6476649511963517, 76.04351591833014
1.6673195945822985, 81.34347341520666
1.6963373441864416, 90.82066358403083
1.7228490154156813, 92.93391460191106
1.7472091935219691, 93.93362660845462
1.7739178565578486, 92.85265548167219
1.7971063616576881, 88.85104528777441
1.837606164130578, 80.14674818987052
2.098481557177411, 14.052249935495965
2.1541154693169244, -0.05163540670776001
