# mks Newport Zinc Selenide transmission
Wavelength [um],Transmission [%]
0.6,0.0
0.6081687269541172,19.961876223817697
0.6095113398357764,39.96180205304694
0.6135569886416508,56.40894796178721
0.6412228975909252,59.96009612531893
0.6730983854737077,62.45846436836171
0.7034490765931198,64.16750726873553
0.7548823095958328,65.74408117249155
0.8029620298356647,66.92621491722542
0.8578792858399883,67.84504242568089
0.9085033459734396,68.36942977511421
1.0188898367380812,69.4182044739809
1.310103738650206,69.93606479558534
1.6624090987919442,70.19121224707766
1.9744173372848584,70.71174271643031
2.494340656883339,71.88809114104313
2.859785911130845,72.14665044799145
3.9985708589639644,72.53011333293776
5.051514527652158,72.39067228386637
9.081787511201638,72.37094285883818
10.051382519486713,72.10437310864533
10.551041410192004,71.31326766747759
10.833974188481402,70.12816709191242
11.124493986280852,64.99569809529459
11.173665785947971,62.89028659585829
11.42280425426651,61.31059751972941
11.729113898771699,60.12549694416423
11.885335298152315,57.361894024802695
11.990637155995715,49.861597341719566
12.150341813324605,39.9927312644633
12.312173595112412,29.729128345101756
12.586697294847184,19.5968076900255
12.810716893122944,9.727793271227668
13,0.0
