# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, P-polarized light
Wavelength[um], Relative Efficiency[%]
1.3726112869881555, 0.03868105420595214
1.5051884858289024, 46.299401851509096
1.5971134276681427, 79.73646992823757
1.6476769420019735, 87.84908500517682
1.6979886494177516, 88.04474925833698
1.7166172224369403, 85.98243775219544
1.7467141445470225, 77.96084573721545
1.773362853554794, 77.85202917619992
1.7963252463200559, 65.5168304874801
1.9778643304580412, 25.860581190066185
1.9988499532679795, 21.578707326917666
2.098849846207216, 8.080443317213607
2.1533669004516938, 0.08640874301029555
