# Wavelength [nm]	Transmittance [0..1]
# Optical transmission for Ohara S-LAL7 (10mm thickness)
# From: https://refractiveindex.info/?shelf=glass&book=OHARA-LAL&page=S-LAL7
280.0	0.090000413952838
290.0	0.22000221552927
300.0	0.380005843251002
310.0	0.550001129122192
320.0	0.689998890551886
330.0	0.799999264898776
340.0	0.880000104226887
350.0	0.929000397226499
360.0	0.957000963034811
370.0	0.974000104889062
380.0	0.984000112719558
390.0	0.990000137900767
400.0	0.992000061265754
420.0	0.993999977732896
440.0	0.99499998800535
460.0	0.995999895953362
480.0	0.997000098948183
500.0	0.998000003894812
550.0	0.998999988764462
600.0	0.997999991353574
650.0	0.998000083001085
700.0	0.998000000311601
800.0	0.998999997323874
900.0	0.998000040125055
1000.0	0.998000054059765
1200.0	0.996999994542582
1400.0	0.991000137345691
1600.0	0.993000013667193
1800.0	0.98399975116085
2000.0	0.968000162545157
2200.0	0.902999555871477
2400.0	0.73999936722672
