# Uncoated sapphire window transmission file
Wavelength [um], Transmission [%]
0.2, 0.0
0.21026162114511937, 75.58448918228711
0.2356620785500101, 80.00432168427017
0.3149185303593536, 84.28623986144633
0.45080808046892673, 85.58828299892761
0.5867340892138848, 86.08559290687842
0.7226724220046064, 86.31088031470624
0.8586020252629123, 86.72885032678782
0.9945270070040564, 87.24882877641554
1.1304725288214736, 87.31543639250495
1.2664206181484252, 87.32537265440206
1.4023640859582154, 87.43731735384529
1.538311148281353, 87.46992215741933
1.6742556430949571, 87.55919831518565
1.8102042459238155, 87.55780030624432
1.946151308246953, 87.59040510981835
2.0821240456654326, 87.0562963714695
2.2180644324637813, 87.23624669594349
2.3540037922583172, 87.43886556209438
2.4899544490948022, 87.39213046979921
2.625896376398872, 87.53807798175782
2.7618521682544257, 87.37800018107808
2.897797176569937, 87.45594206800595
3.0337509144178627, 87.34120135068002
3.1696820581818894, 87.72516855024625
3.3056255259916796, 87.83711324968948
3.4415782368357926, 87.74504107404049
3.5775314611818123, 87.64163462755303
3.7134816045163914, 87.60623380609633
3.849451260923429, 87.14013069277821
3.9854286198590705, 86.50401351688325
4.121410600311872, 85.76588790344218
4.260400846102175, 83.57856454429306
4.387356626970598, 80.72393861664222
4.49255209942996, 77.5382520677088
4.566809008645531, 75.2612440967052
4.628723576757865, 72.61745667856718
4.696842292025225, 69.42918290529428
4.764956865043868, 66.33233891678495
4.820697882156462, 63.557704216323714
4.8764507611631025, 60.52124785949411
4.938373237204803, 57.70291267044384
5.000312981582055, 54.50342214491174
5.068446248515356, 50.99395672516425
5.124206188173214, 47.80165414430587
5.178747177004646, 44.23533333495057
5.220886273183133, 41.61668465941227
5.277900184497467, 38.02540303586797
5.313241850534512, 35.40682426077673
5.363274835468868, 31.968788927749557
5.42787717159405, 28.45490707066466
5.477454240192558, 25.337474223201056
5.5332076840512965, 22.28855016844915
5.591024815048289, 19.154408995941168
5.657056025247282, 16.577073602814806
5.714356034149004, 13.490730567830752
5.786409038417542, 10.605104195371482
5.873720109970084, 8.138373903588914
5.954182753306095, 5.281851283287764
6.0321647007184325, 2.621868748582557
6.164490907045956, 0.7378864808899834
6.3004544014301125, 0.4077946176333711
6.436385545194138, 0.7917618171995997
6.572345445064947, 0.5410098498121982
6.7083012369205015, 0.38093204913242573
6.844244191228384, 0.5042110194141287
6.9801958750686826, 0.434807385442042
7.1161506399204235, 0.29739812643921937
7.2520987292473755, 0.3073343883363435
7.388043737562887, 0.3852762752642036
7.523992340391745, 0.38387826632286703
7.65994607823967, 0.26913754899695164
7.795890573053276, 0.35841370676327244
7.9318355813687855, 0.43635559369114674
