Wavelength [um], Transmission [%]
0.34907455591287806, 0.04573001223187134
0.3553430361016965, 7.590626042477496
0.36132815878274854, 11.77096074724787
0.3720289863090508, 25.148031802513074
0.37651218592275226, 30.490103413766292
0.38092149992787544, 33.508701212053836
0.38740247377845366, 38.692316245969096
0.400764368375119, 50.54549371733576
0.4401615070669586, 61.29531302123878
0.5079669841256229, 65.36139219392862
0.6007347012381256, 66.48393194706995
0.6321401950398147, 68.35597131101969
0.6986309698148597, 69.84562993439343
0.8068186972350607, 70.88819081507839
0.9991011068276884, 71.87664190203492
1.107380276051032, 71.9736183698432
1.2344967758196645, 71.9736183698432
1.3748822254447677, 71.9736183698432
1.5238872702132507, 71.88855220727231
1.6906660186619438, 71.88855220727231
1.8847380562608613, 71.93415585859708
2.1132457699677665, 71.90381407761592
2.351299259136714, 71.9736183698432
2.6108632421931834, 71.9736183698432
3.0148734007422076, 71.98410271480992
3.9865555220415603, 72.64539085955741
4.954250026182816, 73.138274213277
5.998853259796613, 74.3087679306127
8.051660925265285, 75.05684977204494
9.61457138655297, 75.01556766373837
10.190769192562891, 65.78088513288114
10.499140947956072, 59.35989102635384
11.046651220772636, 51.34173801845874
11.46338902911314, 57.98065161792512
12.002686244303495, 42.538224174357836
12.292678327879909, 36.4070666073613
12.624747850781905, 31.669353941954867
12.83631186471672, 27.65623262537531
13.023907201957623, 19.80304125430891
13.27347728299015, 16.787362392972327
13.738209557110393, 0.30454242188372405
