ILDIALCT,ilab_v1,FITS/CSV file dialect
216.400,8.318000e-07,1.575770e-06
216.600,2.917550e-06,1.620220e-06
216.800,1.945670e-06,1.642630e-06
217.000,1.000000e-10,1.645680e-06
217.200,5.837000e-07,1.632170e-06
217.400,1.000000e-10,1.602360e-06
217.600,1.000000e-10,1.554020e-06
217.800,2.654830e-06,1.483720e-06
218.000,1.000000e-10,1.389770e-06
218.200,4.028600e-07,1.275450e-06
218.400,7.805200e-07,1.150520e-06
218.600,1.175030e-06,1.029980e-06
218.800,1.000000e-10,9.304300e-07
219.000,7.262200e-07,8.658300e-07
219.200,1.000000e-10,8.426100e-07
219.400,1.000000e-10,8.585500e-07
219.600,1.000000e-10,9.029900e-07
219.800,8.193000e-07,9.584100e-07
220.000,1.520060e-06,1.006360e-06
220.200,1.000000e-10,1.029720e-06
220.400,1.000000e-10,1.017400e-06
220.600,1.000000e-10,9.675000e-07
220.800,6.146200e-07,8.896300e-07
221.000,1.282860e-06,8.036100e-07
221.200,1.000000e-10,7.347300e-07
221.400,2.713200e-07,7.068400e-07
221.600,1.000000e-10,7.335400e-07
221.800,3.034200e-07,8.128400e-07
222.000,1.000000e-10,9.257200e-07
222.200,1.000000e-10,1.041010e-06
222.400,2.055860e-06,1.126170e-06
222.600,1.000000e-10,1.157800e-06
222.800,1.000000e-10,1.130490e-06
223.000,1.000000e-10,1.058490e-06
223.200,1.000000e-10,9.687900e-07
223.400,3.328000e-08,8.912700e-07
223.600,5.000600e-07,8.466000e-07
223.800,1.623600e-06,8.412400e-07
224.000,8.555500e-07,8.675200e-07
224.200,1.285770e-06,9.086200e-07
224.400,1.000000e-10,9.460400e-07
224.600,1.000000e-10,9.661600e-07
224.800,1.000000e-10,9.633500e-07
225.000,4.310300e-07,9.397100e-07
225.200,1.851060e-06,9.029600e-07
225.400,1.369830e-06,8.632200e-07
225.600,5.780000e-08,8.315700e-07
225.800,4.126100e-07,8.182200e-07
226.000,4.326000e-07,8.302000e-07
226.200,1.946130e-06,8.698100e-07
226.400,9.620900e-07,9.330500e-07
226.600,1.875900e-07,1.010410e-06
226.800,7.367100e-07,1.088590e-06
227.000,2.178230e-06,1.155000e-06
227.200,1.000000e-10,1.202320e-06
227.400,1.000000e-10,1.229770e-06
227.600,1.000000e-10,1.243040e-06
227.800,4.273300e-07,1.250010e-06
228.000,1.536770e-06,1.257180e-06
228.200,1.223370e-06,1.266620e-06
228.400,1.000000e-10,1.276170e-06
228.600,1.658350e-06,1.283300e-06
228.800,1.000000e-10,1.287610e-06
229.000,1.416190e-06,1.291870e-06
229.200,4.535200e-07,1.300820e-06
229.400,1.000000e-10,1.315970e-06
229.600,1.425220e-06,1.332710e-06
229.800,1.000000e-10,1.337770e-06
230.000,1.000000e-10,1.313560e-06
230.200,1.000000e-10,1.245470e-06
230.400,1.729460e-06,1.129710e-06
230.600,5.529100e-07,9.760100e-07
230.800,1.935600e-07,8.058800e-07
231.000,1.000000e-10,6.457300e-07
231.200,3.455900e-07,5.176900e-07
231.400,2.382500e-07,4.336400e-07
231.600,1.000000e-10,3.926100e-07
231.800,1.000000e-10,3.838500e-07
232.000,8.860000e-07,3.924800e-07
232.200,3.020700e-07,4.058600e-07
232.400,1.000000e-10,4.172500e-07
232.600,1.225700e-07,4.265000e-07
232.800,6.203300e-07,4.404200e-07
233.000,1.000000e-10,4.707400e-07
233.200,1.000000e-10,5.321400e-07
233.400,7.676900e-07,6.389600e-07
233.600,4.870100e-07,8.003100e-07
233.800,1.000000e-10,1.014080e-06
234.000,1.000000e-10,1.261370e-06
234.200,1.161540e-06,1.506950e-06
234.400,2.296040e-06,1.705420e-06
234.600,3.239700e-06,1.813190e-06
234.800,1.000000e-10,1.801390e-06
235.000,1.000000e-10,1.667720e-06
235.200,1.000000e-10,1.438120e-06
235.400,2.137300e-07,1.159830e-06
235.600,3.847300e-07,8.868300e-07
235.800,1.000000e-10,6.658100e-07
236.000,1.000000e-10,5.241800e-07
236.200,1.000000e-10,4.672300e-07
236.400,4.705800e-07,4.809600e-07
236.600,9.914900e-07,5.428300e-07
236.800,1.000000e-10,6.294900e-07
237.000,1.000000e-10,7.224300e-07
237.200,4.600200e-07,8.097100e-07
237.400,1.507030e-06,8.845200e-07
237.600,4.854600e-07,9.425800e-07
237.800,1.000000e-10,9.812900e-07
238.000,1.000000e-10,9.999700e-07
238.200,1.861010e-06,1.001420e-06
238.400,3.155200e-07,9.929300e-07
238.600,1.000000e-10,9.857000e-07
238.800,6.278600e-07,9.920900e-07
239.000,2.224690e-06,1.021810e-06
239.200,3.647500e-07,1.077480e-06
239.400,1.000000e-10,1.152190e-06
239.600,1.000000e-10,1.229830e-06
239.800,1.708910e-06,1.288910e-06
240.000,1.508830e-06,1.308880e-06
240.200,1.000000e-10,1.276060e-06
240.400,1.000000e-10,1.188440e-06
240.600,1.301470e-06,1.056740e-06
240.800,2.890300e-07,9.019000e-07
241.000,1.000000e-10,7.475900e-07
241.200,1.000000e-10,6.140700e-07
241.400,1.000000e-10,5.129800e-07
241.600,1.000000e-10,4.460900e-07
241.800,1.000000e-10,4.072900e-07
242.000,1.000000e-10,3.877300e-07
242.200,6.223100e-07,3.809600e-07
242.400,1.000000e-10,3.857300e-07
242.600,9.690000e-09,4.033100e-07
242.800,1.000000e-10,4.349500e-07
243.000,1.000000e-10,4.784000e-07
243.200,7.078900e-07,5.262200e-07
243.400,1.000000e-10,5.674800e-07
243.600,1.000000e-10,5.920500e-07
243.800,8.967900e-07,5.957600e-07
244.000,5.335700e-07,5.831400e-07
244.200,1.000000e-10,5.667300e-07
244.400,1.890000e-09,5.643400e-07
244.600,1.142330e-06,5.934700e-07
244.800,7.505500e-07,6.640400e-07
245.000,1.000000e-10,7.749200e-07
245.200,2.265100e-07,9.141000e-07
245.400,1.457130e-06,1.062590e-06
245.600,1.000000e-10,1.200630e-06
245.800,2.145890e-06,1.313230e-06
246.000,1.000000e-10,1.393410e-06
246.200,1.000000e-10,1.440450e-06
246.400,3.042900e-07,1.456770e-06
246.600,1.000000e-10,1.443700e-06
246.800,2.395430e-06,1.399040e-06
247.000,2.082950e-06,1.318610e-06
247.200,5.631200e-07,1.200520e-06
247.400,1.011620e-06,1.049520e-06
247.600,1.000000e-10,8.789400e-07
247.800,5.169000e-07,7.092200e-07
248.000,3.798100e-07,5.633700e-07
248.200,1.000000e-10,4.601600e-07
248.400,1.000000e-10,4.100600e-07
248.600,3.399000e-08,4.139700e-07
248.800,1.302130e-06,4.655600e-07
249.000,1.000000e-10,5.538200e-07
249.200,3.262400e-07,6.657000e-07
249.400,1.000000e-10,7.865400e-07
249.600,1.000000e-10,8.997600e-07
249.800,1.000000e-10,9.865400e-07
250.000,1.000000e-10,1.028990e-06
250.200,1.569460e-06,1.013420e-06
250.400,1.061550e-06,9.354200e-07
250.600,1.000000e-10,8.029300e-07
250.800,1.000000e-10,6.376000e-07
251.000,1.332500e-07,4.701300e-07
251.200,3.484000e-08,3.328100e-07
251.400,8.541000e-08,2.510300e-07
251.600,1.269000e-08,2.364000e-07
251.800,1.000000e-10,2.848100e-07
252.000,4.020000e-07,3.794600e-07
252.200,1.000000e-10,4.982800e-07
252.400,1.278410e-06,6.213100e-07
252.600,6.702600e-07,7.371500e-07
252.800,1.102340e-06,8.441000e-07
253.000,5.235000e-07,9.472700e-07
253.200,1.000000e-10,1.051740e-06
253.400,1.000000e-10,1.156430e-06
253.600,1.000000e-10,1.251900e-06
253.800,1.000000e-10,1.323060e-06
254.000,1.000000e-10,1.356430e-06
254.200,2.082090e-06,1.347320e-06
254.400,1.000000e-10,1.303580e-06
254.600,5.333300e-07,1.243450e-06
254.800,1.000000e-10,1.187910e-06
255.000,6.454500e-07,1.151570e-06
255.200,9.902600e-07,1.136630e-06
255.400,2.067650e-06,1.132010e-06
255.600,1.386400e-06,1.119500e-06
255.800,1.000000e-10,1.082980e-06
256.000,1.000000e-10,1.015450e-06
256.200,8.374900e-07,9.231600e-07
256.400,1.000000e-10,8.217700e-07
256.600,2.413100e-07,7.306400e-07
256.800,1.000000e-10,6.661300e-07
257.000,1.000000e-10,6.377400e-07
257.200,9.698300e-07,6.476500e-07
257.400,1.187850e-06,6.922200e-07
257.600,1.000000e-10,7.636000e-07
257.800,6.323000e-08,8.509700e-07
258.000,1.000000e-10,9.393300e-07
258.200,1.344910e-06,1.011800e-06
258.400,1.000000e-10,1.052590e-06
258.600,1.840480e-06,1.051490e-06
258.800,8.596000e-07,1.009140e-06
259.000,1.000000e-10,9.381600e-07
259.200,4.784200e-07,8.605500e-07
259.400,1.000000e-10,8.001700e-07
259.600,1.000000e-10,7.735200e-07
259.800,5.650000e-07,7.833600e-07
260.000,1.000000e-10,8.158700e-07
260.200,1.347150e-06,8.466700e-07
260.400,5.430400e-07,8.501700e-07
260.600,1.821390e-06,8.095600e-07
260.800,1.000000e-10,7.241200e-07
261.000,1.654000e-08,6.100700e-07
261.200,1.000000e-10,4.962200e-07
261.400,2.429200e-07,4.155800e-07
261.600,1.232000e-07,3.949200e-07
261.800,1.000000e-10,4.473600e-07
262.000,1.000000e-10,5.693600e-07
262.200,8.852800e-07,7.417700e-07
262.400,5.149200e-07,9.355300e-07
262.600,2.165240e-06,1.116850e-06
262.800,1.000000e-10,1.254700e-06
263.000,9.807800e-07,1.325930e-06
263.200,1.000000e-10,1.318560e-06
263.400,1.000000e-10,1.234530e-06
263.600,1.665050e-06,1.089920e-06
263.800,1.000000e-10,9.120700e-07
264.000,1.105700e-07,7.355400e-07
264.200,1.000000e-10,5.928700e-07
