# Wavelength[nm],T%
898.0,99.69215
898.5,99.66096
899.0,99.65293
899.5,99.6528
900.0,99.58535
900.5,99.71906
901.0,99.69408
901.5,99.69878
902.0,99.78255
902.5,99.71887
903.0,99.7169
903.5,99.80818
904.0,99.73944
904.5,99.6711
905.0,99.75356
905.5,99.64682
906.0,99.82179
906.5,99.79218
907.0,99.70509
907.5,99.84724
908.0,99.78157
908.5,99.75378
909.0,99.83486
909.5,99.72781
910.0,99.80157
910.5,99.78332
911.0,99.65655
911.5,99.79735
912.0,99.74852
912.5,99.71589
913.0,99.89572
913.5,99.77639
914.0,99.75922
914.5,99.80357
915.0,99.72266
915.5,99.74957
916.0,99.78196
916.5,99.76346
917.0,99.87242
917.5,99.78578
918.0,99.74021
918.5,99.81248
919.0,99.75402
919.5,99.73096
920.0,99.83904
920.5,99.7328
921.0,99.70966
921.5,99.75894
922.0,99.69447
922.5,99.77755
923.0,99.71726
923.5,99.76542
924.0,99.72161
924.5,99.72796
925.0,99.71291
925.5,99.798
926.0,99.65997
926.5,99.68095
927.0,99.74537
927.5,99.71954
928.0,99.73389
928.5,99.69564
929.0,99.77054
929.5,99.73634
930.0,99.63929
930.5,99.70458
931.0,99.6823
931.5,99.76654
932.0,99.67173
932.5,99.72607
933.0,99.69491
933.5,99.69466
934.0,99.702
934.5,99.70962
935.0,99.72234
935.5,99.70145
936.0,99.74558
936.5,99.70559
937.0,99.78552
937.5,99.70123
938.0,99.72802
938.5,99.72346
939.0,99.71902
939.5,99.68667
940.0,99.76584
940.5,99.68253
941.0,99.73887
941.5,99.72256
942.0,99.65089
942.5,99.75525
943.0,99.64797
943.5,99.65811
944.0,99.79215
944.5,99.68168
945.0,99.69196
945.5,99.72099
946.0,99.64552
946.5,99.70074
947.0,99.64664
947.5,99.60174
948.0,99.74342
948.5,99.66139
949.0,99.66747
949.5,99.67474
950.0,99.69936
