ILDIALCT,ilab_v1,FITS/CSV file dialect
357.000,1.000000e-10,5.700100e-07
358.000,1.000000e-10,4.899400e-07
359.000,9.212700e-07,4.087700e-07
360.000,1.103300e-07,3.340200e-07
361.000,1.000000e-10,2.750000e-07
362.000,1.000000e-10,2.415500e-07
363.000,4.022000e-08,2.409600e-07
364.000,1.000000e-10,2.736000e-07
365.000,4.710000e-08,3.307300e-07
366.000,1.000000e-10,3.964800e-07
367.000,1.358510e-06,4.520700e-07
368.000,5.908200e-07,4.826500e-07
369.000,3.705200e-07,4.821700e-07
370.000,1.431300e-07,4.549800e-07
371.000,1.000000e-10,4.122900e-07
372.000,1.000000e-10,3.680500e-07
373.000,1.000000e-10,3.336900e-07
374.000,1.000000e-10,3.150200e-07
375.000,4.785800e-07,3.115600e-07
376.000,1.292000e-08,3.186400e-07
377.000,1.000000e-10,3.302900e-07
378.000,6.795300e-07,3.411200e-07
379.000,1.197000e-07,3.483200e-07
380.000,4.606800e-07,3.517100e-07
381.000,1.000000e-10,3.534000e-07
382.000,1.000000e-10,3.567400e-07
383.000,1.000000e-10,3.661200e-07
384.000,2.274100e-07,3.868200e-07
385.000,7.102200e-07,4.229300e-07
386.000,4.779100e-07,4.760700e-07
387.000,2.989600e-07,5.438900e-07
388.000,7.043500e-07,6.190700e-07
389.000,6.586100e-07,6.900700e-07
390.000,3.820500e-07,7.434700e-07
391.000,1.650320e-06,7.680200e-07
392.000,1.000000e-10,7.592500e-07
393.000,1.000000e-10,7.217100e-07
394.000,1.670900e-07,6.690800e-07
395.000,1.000000e-10,6.207200e-07
396.000,6.868800e-07,5.962300e-07
397.000,1.486000e-07,6.108300e-07
398.000,1.000000e-10,6.712900e-07
399.000,1.231960e-06,7.746000e-07
400.000,1.000000e-10,9.087300e-07
401.000,1.000000e-10,1.055190e-06
402.000,7.628700e-07,1.192740e-06
403.000,1.000000e-10,1.301040e-06
404.000,2.141010e-06,1.364440e-06
405.000,1.000000e-10,1.375570e-06
406.000,1.000000e-10,1.336710e-06
407.000,8.916300e-07,1.259090e-06
408.000,1.000000e-10,1.161110e-06
409.000,1.000000e-10,1.063020e-06
410.000,1.000000e-10,9.828700e-07
411.000,1.000000e-10,9.328300e-07
412.000,1.000000e-10,9.180200e-07
413.000,1.000000e-10,9.364900e-07
414.000,1.000000e-10,9.799900e-07
415.000,1.000000e-10,1.036210e-06
416.000,9.662000e-07,1.090480e-06
417.000,1.381190e-06,1.127650e-06
418.000,1.000000e-10,1.134920e-06
419.000,1.000000e-10,1.105220e-06
420.000,1.191440e-06,1.039200e-06
421.000,1.000000e-10,9.467000e-07
422.000,1.000000e-10,8.448100e-07
423.000,4.021000e-07,7.538800e-07
424.000,1.000000e-10,6.925600e-07
425.000,1.000000e-10,6.730300e-07
426.000,1.000000e-10,6.981600e-07
427.000,1.000000e-10,7.610100e-07
428.000,1.000000e-10,8.467200e-07
429.000,1.000000e-10,9.364300e-07
430.000,1.000000e-10,1.012020e-06
431.000,1.223690e-06,1.060570e-06
432.000,8.775500e-07,1.076860e-06
433.000,1.740980e-06,1.063490e-06
434.000,1.000000e-10,1.029600e-06
435.000,3.672800e-07,9.862000e-07
436.000,1.000000e-10,9.422100e-07
437.000,7.299600e-07,9.020700e-07
438.000,1.312070e-06,8.660600e-07
439.000,1.000000e-10,8.330900e-07
440.000,9.769000e-07,8.040900e-07
441.000,1.000000e-10,7.841400e-07
442.000,1.000000e-10,7.811200e-07
