ILDIALCT,ilab_v1,FITS/CSV file dialect
357.000,1.821930e-06,1.164160e-06
358.000,1.000000e-10,1.075550e-06
359.000,8.125300e-07,9.801200e-07
360.000,1.000000e-10,8.781900e-07
361.000,1.000000e-10,7.799800e-07
362.000,1.000000e-10,7.041700e-07
363.000,1.000000e-10,6.725000e-07
364.000,1.000000e-10,7.028100e-07
365.000,1.000000e-10,7.991500e-07
366.000,1.000000e-10,9.487200e-07
367.000,4.427800e-07,1.122680e-06
368.000,3.082220e-06,1.282600e-06
369.000,1.795980e-06,1.393680e-06
370.000,1.515440e-06,1.436130e-06
371.000,2.102870e-06,1.409930e-06
372.000,7.598200e-07,1.335370e-06
373.000,4.099000e-07,1.244860e-06
374.000,5.154700e-07,1.170770e-06
375.000,1.717000e-06,1.134760e-06
376.000,6.788600e-07,1.143230e-06
377.000,1.000000e-10,1.188460e-06
378.000,2.367640e-06,1.257560e-06
379.000,8.136300e-07,1.338000e-06
380.000,9.180200e-07,1.425450e-06
381.000,2.195330e-06,1.522360e-06
382.000,1.419010e-06,1.634300e-06
383.000,1.269860e-06,1.761710e-06
384.000,1.000000e-10,1.896390e-06
385.000,2.387080e-06,2.023310e-06
386.000,2.356800e-06,2.121020e-06
387.000,2.799930e-06,2.170430e-06
388.000,2.375400e-06,2.161360e-06
389.000,1.603660e-06,2.094660e-06
390.000,2.182630e-06,1.982320e-06
391.000,4.509400e-07,1.843770e-06
392.000,3.125140e-06,1.701280e-06
393.000,1.100750e-06,1.574320e-06
394.000,1.315500e-06,1.477270e-06
395.000,4.407700e-07,1.417180e-06
396.000,2.274740e-06,1.392500e-06
397.000,1.648850e-06,1.394420e-06
398.000,2.590200e-07,1.408720e-06
399.000,1.937330e-06,1.417520e-06
400.000,1.000000e-10,1.405090e-06
401.000,1.000000e-10,1.362170e-06
402.000,1.424340e-06,1.290050e-06
403.000,1.000000e-10,1.199710e-06
404.000,9.171700e-07,1.108190e-06
405.000,5.362700e-07,1.031980e-06
406.000,2.643200e-07,9.814400e-07
407.000,9.134000e-07,9.553200e-07
408.000,1.808770e-06,9.428500e-07
409.000,1.000000e-10,9.312400e-07
410.000,1.000000e-10,9.092000e-07
411.000,5.550800e-07,8.741500e-07
412.000,7.077100e-07,8.334100e-07
413.000,3.281000e-07,8.037300e-07
414.000,1.213190e-06,8.047300e-07
415.000,6.497700e-07,8.523100e-07
416.000,1.160800e-06,9.544200e-07
417.000,1.345590e-06,1.106150e-06
418.000,1.000000e-10,1.290700e-06
419.000,4.781000e-08,1.481640e-06
420.000,3.859840e-06,1.649490e-06
421.000,1.000000e-10,1.768800e-06
422.000,1.626980e-06,1.824740e-06
423.000,1.270950e-06,1.815620e-06
424.000,1.000000e-10,1.753110e-06
425.000,1.000000e-10,1.658140e-06
426.000,1.672500e-06,1.555120e-06
427.000,1.000000e-10,1.466210e-06
428.000,1.000000e-10,1.405780e-06
429.000,1.000000e-10,1.377820e-06
430.000,1.098190e-06,1.374610e-06
431.000,5.156800e-07,1.381650e-06
432.000,2.038270e-06,1.380210e-06
433.000,2.301240e-06,1.354780e-06
434.000,1.857590e-06,1.298160e-06
435.000,4.634200e-07,1.215790e-06
436.000,1.000000e-10,1.125130e-06
437.000,8.783200e-07,1.052920e-06
438.000,1.485060e-06,1.023320e-06
439.000,1.000000e-10,1.050130e-06
440.000,8.155000e-08,1.130990e-06
441.000,1.017140e-06,1.247360e-06
442.000,1.000000e-10,1.369600e-06
443.000,3.394950e-06,1.465570e-06
444.000,8.706300e-07,1.509220e-06
445.000,1.000000e-10,1.486830e-06
446.000,7.037800e-07,1.397990e-06
447.000,2.078760e-06,1.254720e-06
448.000,1.000000e-10,1.077270e-06
449.000,9.091500e-07,8.908600e-07
450.000,5.049000e-08,7.226400e-07
451.000,1.000000e-10,5.984900e-07
452.000,2.754600e-07,5.402600e-07
453.000,9.250100e-07,5.650600e-07
454.000,8.495700e-07,6.820300e-07
455.000,8.269300e-07,8.876100e-07
456.000,9.203400e-07,1.164170e-06
457.000,1.134150e-06,1.480880e-06
458.000,1.694950e-06,1.798990e-06
459.000,3.456610e-06,2.078730e-06
460.000,1.000000e-10,2.287940e-06
461.000,1.000000e-10,2.406840e-06
462.000,2.308470e-06,2.432600e-06
463.000,1.056300e-06,2.377380e-06
464.000,1.000000e-10,2.262030e-06
465.000,3.251040e-06,2.109610e-06
466.000,1.000000e-10,1.941720e-06
467.000,4.644700e-07,1.774890e-06
468.000,2.176450e-06,1.620010e-06
469.000,1.000000e-10,1.485730e-06
470.000,1.000000e-10,1.376880e-06
471.000,6.738800e-07,1.295660e-06
472.000,1.143200e-06,1.240840e-06
473.000,1.000000e-10,1.208150e-06
474.000,1.808180e-06,1.190160e-06
475.000,1.000000e-10,1.179370e-06
476.000,1.238100e-07,1.170170e-06
477.000,2.204670e-06,1.160800e-06
478.000,1.877970e-06,1.150780e-06
479.000,5.710000e-09,1.142280e-06
480.000,5.885000e-07,1.138020e-06
481.000,2.296920e-06,1.141740e-06
482.000,2.358000e-07,1.159790e-06
483.000,2.526420e-06,1.197430e-06
484.000,1.410260e-06,1.257420e-06
485.000,1.000000e-10,1.332740e-06
486.000,2.257900e-07,1.396740e-06
487.000,2.111580e-06,1.394620e-06
488.000,2.586820e-06,1.229430e-06
489.000,3.634350e-06,7.325400e-07
490.000,1.814650e-06,-3.886000e-07
491.000,4.060160e-06,-2.677450e-06
492.000,1.886370e-06,-7.413410e-06
493.000,2.348380e-06,-2.439076e-05
494.000,5.021560e-06,-1.019067e-04
495.000,7.406790e-06,-3.784392e-04
496.000,1.472966e-05,-1.131370e-03
497.000,2.347337e-05,-2.773182e-03
498.000,4.425509e-05,-5.735363e-03
499.000,8.227835e-05,-1.019043e-02
500.000,1.613894e-04,-1.561225e-02
501.000,3.434929e-04,-2.027230e-02
502.000,7.892085e-04,-2.087997e-02
503.000,1.972539e-03,-1.263382e-02
504.000,5.560183e-03,1.011250e-02
505.000,1.743774e-02,5.257083e-02
506.000,5.787130e-02,1.179160e-01
507.000,1.593921e-01,2.058785e-01
508.000,3.282646e-01,3.120891e-01
509.000,5.262223e-01,4.285333e-01
510.000,6.928752e-01,5.450824e-01
511.000,7.930779e-01,6.516268e-01
512.000,8.331190e-01,7.400761e-01
513.000,8.398166e-01,8.055276e-01
514.000,8.346396e-01,8.462606e-01
515.000,8.245911e-01,8.627312e-01
516.000,8.128089e-01,8.561725e-01
517.000,8.038976e-01,8.275435e-01
518.000,7.929810e-01,7.773388e-01
519.000,7.497073e-01,7.063027e-01
520.000,6.442066e-01,6.166093e-01
521.000,4.840356e-01,5.128164e-01
522.000,3.077364e-01,4.020003e-01
523.000,1.591447e-01,2.928614e-01
524.000,6.556592e-02,1.940725e-01
525.000,2.191415e-02,1.124684e-01
526.000,7.186025e-03,5.172280e-02
527.000,2.600912e-03,1.194106e-02
528.000,1.075539e-03,-9.782213e-03
529.000,4.935357e-04,-1.814041e-02
530.000,2.455537e-04,-1.821628e-02
531.000,1.295111e-04,-1.435940e-02
532.000,7.123901e-05,-9.592457e-03
533.000,4.311291e-05,-5.551696e-03
534.000,2.697341e-05,-2.788506e-03
535.000,1.599152e-05,-1.203845e-03
536.000,1.123826e-05,-4.392732e-04
537.000,9.449120e-06,-1.339549e-04
538.000,4.594120e-06,-3.569644e-05
539.000,5.153760e-06,-1.000398e-05
540.000,4.574850e-06,-3.376990e-06
541.000,1.591640e-06,-8.903300e-07
542.000,1.883280e-06,1.939000e-07
543.000,1.006500e-06,6.562500e-07
544.000,1.000000e-10,8.733100e-07
545.000,1.188190e-06,1.032340e-06
546.000,1.496890e-06,1.204160e-06
547.000,1.219320e-06,1.392580e-06
548.000,1.000000e-10,1.567100e-06
549.000,2.330940e-06,1.690040e-06
550.000,3.988750e-06,1.736390e-06
551.000,1.002880e-06,1.703540e-06
552.000,1.054150e-06,1.612110e-06
553.000,1.000000e-10,1.499060e-06
554.000,4.580800e-07,1.404710e-06
555.000,2.082810e-06,1.357340e-06
556.000,1.000000e-10,1.369540e-06
557.000,1.343900e-06,1.433410e-06
558.000,1.298480e-06,1.526880e-06
559.000,1.243880e-06,1.622840e-06
560.000,1.000000e-10,1.699220e-06
561.000,3.079490e-06,1.746020e-06
562.000,1.445730e-06,1.764780e-06
563.000,1.000000e-10,1.765350e-06
564.000,1.303690e-06,1.759580e-06
565.000,9.631500e-07,1.756040e-06
566.000,1.000000e-10,1.755890e-06
567.000,2.745870e-06,1.754930e-06
568.000,2.946140e-06,1.744830e-06
569.000,4.405500e-07,1.719070e-06
570.000,1.583600e-06,1.674860e-06
571.000,5.433000e-07,1.613340e-06
572.000,2.917510e-06,1.539380e-06
573.000,1.000000e-10,1.459050e-06
574.000,3.013700e-07,1.379890e-06
575.000,1.766840e-06,1.310890e-06
576.000,1.906470e-06,1.262210e-06
577.000,1.000000e-10,1.243590e-06
578.000,9.173000e-08,1.259970e-06
579.000,1.221610e-06,1.306210e-06
580.000,1.000000e-10,1.366580e-06
581.000,1.000000e-10,1.417350e-06
582.000,2.109950e-06,1.433930e-06
583.000,1.000000e-10,1.398620e-06
584.000,1.000000e-10,1.308230e-06
585.000,8.680300e-07,1.175890e-06
586.000,7.143000e-07,1.025760e-06
587.000,4.583500e-07,8.875100e-07
588.000,8.512700e-07,7.875100e-07
589.000,1.000000e-10,7.440300e-07
590.000,5.538600e-07,7.653100e-07
591.000,1.000000e-10,8.509300e-07
592.000,1.429370e-06,9.935200e-07
593.000,1.425640e-06,1.179080e-06
594.000,7.636900e-07,1.385220e-06
595.000,3.891700e-07,1.582960e-06
596.000,2.896860e-06,1.741450e-06
597.000,3.137620e-06,1.834010e-06
598.000,1.000000e-10,1.846790e-06
599.000,1.794660e-06,1.784860e-06
600.000,1.000000e-10,1.672790e-06
601.000,1.206100e-07,1.549370e-06
602.000,2.397750e-06,1.455800e-06
603.000,1.223590e-06,1.424290e-06
604.000,8.009100e-07,1.469340e-06
605.000,1.849700e-06,1.587100e-06
606.000,1.501790e-06,1.757750e-06
607.000,3.051730e-06,1.953030e-06
608.000,1.000000e-10,2.144120e-06
609.000,1.765760e-06,2.307510e-06
610.000,2.155850e-06,2.427380e-06
611.000,1.000000e-10,2.494280e-06
612.000,3.377130e-06,2.504360e-06
613.000,2.739230e-06,2.457650e-06
614.000,1.124590e-06,2.355810e-06
615.000,1.000000e-10,2.202840e-06
616.000,1.000000e-10,2.006720e-06
617.000,2.996050e-06,1.780380e-06
618.000,1.081110e-06,1.541290e-06
619.000,1.000000e-10,1.310720e-06
