# Wavelength(A) QE(0..100)
# QE curve for LBNL back illuminated, 500um think deep-depletion 4096x4096x15um CCD
# From https://noirlab.edu/science/images/mosa3qecompared
# Digitized using WebPlotDigitizer by TAL 2023/08/15
3800, 0
4113.040267682012, 30.85725429017161
4136.050536517826, 32.44461778471138
4155.773624091381, 33.90499219968798
4175.496711664936, 35.38653146125844
4195.219799238491, 36.82574102964118
4214.942886812046, 38.34960998439938
4234.665974385601, 39.74648985959438
4254.389061959156, 41.14336973478939
4277.3993307949695, 42.65136505460218
4303.696780893042, 44.191107644305774
4333.281412253375, 45.76577223088923
4369.440406138226, 47.36583463338533
4408.8865812853355, 48.815626625065
4454.907118956963, 50.24689937597504
4510.789200415369, 51.74695787831513
4573.245644398292, 53.188283931357255
4642.276450905734, 54.552262090483616
4714.594438675435, 55.66053042121685
4786.912426445137, 56.578315132605304
4855.943232952579, 57.72179407176287
4911.825314410984, 59.148607087140626
4954.558670820354, 60.56211648465939
4994.004845967463, 61.96957878315133
5036.738202376831, 63.45716514374861
5089.3331025729785, 64.9820419483446
5155.076727818161, 66.22371294851794
5227.394715587862, 67.04914196567863
5299.712703357563, 67.81107644305771
5372.030691127265, 68.68845553822153
5444.348678896966, 69.62932917316692
5516.666666666667, 70.52979719188768
5588.984654436368, 71.34945397815912
5661.302642206069, 72.21528861154447
5733.6206299757705, 73.1792511700468
5805.938617745472, 74.17784711388455
5878.256605515173, 75.03790951638067
5950.574593284873, 75.70748829953197
6022.892581054575, 76.26739469578783
6095.2105688242755, 76.85039001560062
6167.528556593978, 77.54305772230889
6239.846544363678, 78.3223088923557
6312.16453213338, 79.13042121684867
6385.797392407985, 79.90678627145085
6456.800507672782, 80.52152886115445
6524.735587092804, 80.90506153579477
6614.585208261221, 81.25460218408736
6686.903196030922, 81.56630265210609
6759.221183800623, 81.99344773790952
6831.5391715703245, 82.38595943837754
6903.857159340026, 82.66302652106084
6976.175147109727, 82.85351014040562
7048.493134879428, 83.11903276131045
7120.811122649129, 83.56926677067082
7193.12911041883, 84.14071762870515
7265.4470981885315, 84.67176287051483
7337.765085958233, 85.08159126365055
7410.083073727934, 85.3990639625585
7482.401061497635, 85.64149765990639
7554.719049267336, 85.86084243369734
7627.037037037037, 86.08018720748831
7699.355024806739, 86.34570982839314
7771.67301257644, 86.59391575663027
7843.991000346141, 86.73244929797193
7916.308988115842, 86.67472698907956
7988.626975885543, 86.52464898595944
8060.9449636552445, 86.38611544461779
8133.262951424946, 86.35148205928238
8205.580939194646, 86.44383775351014
8277.898926964348, 86.51887675507021
8350.21691473405, 86.60546021840874
8422.53490250375, 86.65163806552262
8494.85289027345, 86.60546021840874
8567.170878043153, 86.51887675507021
8639.488865812855, 86.47847113884555
8711.806853582555, 86.47847113884555
8784.124841352255, 86.55928237129486
8856.442829121957, 86.60546021840874
8928.76081689166, 86.60546021840874
9001.07880466136, 86.56505460218409
9073.39679243106, 86.40920436817473
9145.714780200762, 86.17254290171607
9218.032767970464, 85.89547581903275
9290.350755740164, 85.60109204368175
9362.668743509865, 85.27207488299533
9434.986731279567, 84.8795631825273
9507.304719049269, 84.30811232449298
9579.62270681897, 83.33260530421217
9642.079150801892, 81.89099063962558
9688.099688473521, 80.44648985959438
9724.258682358372, 79.03691107644306
9757.130494980964, 77.6019344773791
9786.715126341296, 76.14473478939158
9813.012576439367, 74.76372854914197
9839.310026537441, 73.25573322932917
9865.607476635514, 71.5890015600624
9888.617745471329, 70.03338533541341
9908.340833044884, 68.63650546021842
9928.063920618439, 67.17613104524182
9947.787008191994, 65.58876755070203
9967.510095765549, 63.89557982319293
9987.233183339104, 62.11773270930838
10003.669089650399, 60.572698907956315
10020.104995961694, 58.92184087363494
10036.540902272991, 57.14399375975039
10049.689627322026, 55.74711388455538
10062.838352371062, 54.22324492979719
10075.9870774201, 52.76287051482059
10089.135802469136, 51.2390015600624
10102.284527518172, 49.58814352574103
10115.433252567209, 48.06427457098284
10128.581977616246, 46.413416536661465
10141.730702665282, 44.7308112324493
10154.879427714319, 43.048205928237124
10168.028152763356, 41.39734789391575
10181.176877812391, 39.71474258970359
10194.325602861429, 38.06388455538222
10207.474327910466, 36.349531981279256
10220.623052959501, 34.63517940717628
10233.771778008539, 32.92082683307332
10246.920503057576, 31.269968798751947
10260.069228106611, 29.650858034321374
10273.217953155649, 28
10286.366678204686, 26.380889235569427
10299.515403253721, 24.82527301092044
10312.664128302758, 23.30140405616224
10325.812853351796, 21.841029641185642
10338.961578400831, 20.44414976599063
10355.397484712128, 18.79329173166927
10375.120572285683, 16.93078523140926
10394.843659859238, 15.25876235049401
10417.85392869505, 13.634360374414968
10444.151378793124, 12.110491419656782
10477.023191415716, 10.63424336973479
10523.043729087343, 9.157995319812784
10585.500173070268, 7.80873634945398
10654.53097957771, 6.411856474258968
10723.56178608515, 5.032293291731662
10795.879773854853, 3.84898595943838
10868.197761624553, 2.988923556942268
10940.515749394255, 2.4232449297971925
11012.833737163955, 1.9614664586583501
11085.151724933658, 1.5170046801872132
11150.89535017884, 0.558814352574089
11190.34152532595, 0.5068642745709866
11250.0, 0.0
