# QE curve for Andor iXon Ultra Blue 888 1018 x 1018 x 13um EMCCD with 'NBB' blue/UV enhanced coating
# Digitized by TAL using WebPlotDigitizer from https://andor.oxinst.com/assets/uploads/products/andor/documents/andor-ixon-ultra-blue-emccd-specifications.pdf
# Extrapolated to 0 at the ends
# Wavelength(nm) QE_NBB(0..100.0)
175.0 0.0
200.0 27.7
203.52092580670345 28.638544735423494
209.36787097932046 29.991094988285127
216.07308333323903 29.9803320971523
222.5816094581093 29.99501769201015
228.91580006177776 30.773923895665703
235.2499906654462 31.310672071468318
241.64229310951526 31.466757869854817
248.03459555358427 30.906055905796578
254.92499948680154 30.46790279327027
260.8192004417224 30.1527321800166
267.21150288579145 30.047287308321913
271.5698909158385 29.98750097901363
271.8157487021489 31.333755825414627
273.89436453186363 32.99792695997513
275.6377197438825 34.7918120240013
277.9621933599076 36.54140187327509
279.12443016792014 37.83351579924525
279.7055485719264 39.072254535400425
281.1583445819421 40.41769343934189
282.32058138995467 41.976181195950275
283.88960108077157 43.80377681808444
285.3230264773204 45.570970939746864
285.5167326119892 47.11419680647356
287.3763115048093 48.588453358471305
287.8412062280143 49.97722926781522
289.8751206420363 51.692520841306155
292.2889970894469 53.5422163511724
294.8146270760896 55.37694398633162
297.1391006921147 57.22420424017277
298.88245590413356 58.80587815245713
301.6718242433637 60.43923176796877
304.1125215401901 61.95798438209355
306.4369951562152 63.34352999616174
309.19730757524496 64.8401400240947
312.71307391948295 66.33332895174601
315.15377121630934 67.67361109934316
317.59446851313567 68.99791081710202
320.84873157557087 70.3303423429423
323.8705472764035 71.63076883963103
327.6031154867515 72.93459660936061
331.17922874217476 74.25069151874229
335.07783078223883 75.55220623299229
338.3985073765604 76.92390766467422
342.4663362046044 78.10686648213493
347.986961042664 79.35977751116431
354.379263486733 80.36825956759319
360.77156593080207 81.26050577065266
367.16386837487113 82.2738309876386
373.0719054822683 83.38635730963816
376.5198746793722 84.68152997375152
381.69182847502805 85.90871199761608
388.0841309190971 86.49099592502378
394.47643336316617 87.39292844919737
400.8687358072352 88.35297890005566
407.2610382513043 88.81902697409394
413.65334069537334 88.82013163465454
420.04564313944235 88.45315609287867
426.4379455835114 88.27990697338517
432.83024802758047 88.04853992720695
439.2225504716495 87.7251528304446
445.6148529157186 87.29521620142695
452.00715535978765 86.80231848516755
458.39945780385665 86.35978963870156
464.7917602479257 85.99087683270285
471.18406269199477 85.60452864869873
477.5763651360638 85.2569257491511
483.9686675801329 85.00618606074464
490.8129510050957 84.5994670839231
496.753272468271 84.25770549552172
503.14557491234 83.7890235820476
509.53787735640907 83.23800793910348
515.9301798004782 82.83228711287114
522.3224822445472 82.46531157109527
528.7147846886163 82.0014728181782
535.1070871326854 81.75073312977176
541.4993895767543 81.47093447802294
547.8916920208234 80.99256624343471
554.2839944648924 80.61106121998766
560.6762969089615 80.21502671486942
567.0685993530305 79.77056060418062
573.4609017970996 79.42295770463296
579.8532042411687 79.11410008954181
586.2455066852377 78.66963397885299
592.6378091293068 78.30265843707711
599.0301115733758 77.96958501920065
605.4224140174449 77.47668730294124
611.814716461514 77.00800538946713
618.207018905583 76.68946145326184
624.5993213496521 76.30311326925774
630.9916237937211 75.83927451634068
637.3839262377902 75.36865533864373
643.7762286818592 74.78083167546598
650.1685311259282 74.12326650026655
656.5608335699973 73.53834873342302
662.9531360140663 72.90984252156596
669.3454384581354 72.31523843360831
675.7377409022045 71.69641854286537
682.1300433462735 70.79185217925595
688.5223457903426 69.97930586623065
694.9146482344116 69.19581851654769
701.3069506784807 68.29609531349533
707.6992531225497 67.37215630765766
714.0915555666188 66.39978569624941
720.4838580106879 65.39351296094175
726.8761604547568 64.32427913839231
733.2684628988259 63.255045315842885
739.6607653428949 62.17128201162227
746.053067786964 60.93738073013283
752.1548110290299 59.7179587184709
757.9659950690927 58.56442266654928
764.0677383111586 57.24031919884692
770.1694815532245 55.95987336416604
775.3995471892811 54.78074110762457
780.3390536233344 53.596231162626665
785.859678461394 52.425140332848
791.0897440974505 51.16076845050229
795.7386913295007 49.98952698519263
801.2593161675603 48.727626894969106
806.77994100562 47.42092756959279
812.0100066416765 46.00928901230851
817.240072277733 44.67908474039076
820.7590670575488 43.688190269788336
825.6081772954234 42.480283000416385
830.0246771658711 41.40489594466156
834.092505993915 40.27351013026031
837.6115007737309 39.2337804573742
842.8092820540091 38.02415761667706
846.58655168005 36.892721590432146
850.6543805080939 35.76617893658795
856.1750053461536 34.39786384634684
860.8239525782038 33.16594834183624
865.1242287678504 31.938708117880168
869.540728638298 30.82780455137356
874.4802350723513 29.50324654693405
879.4197415064046 28.432147278313934
883.4875703344486 27.28300320853681
887.0065651142645 26.190656482685128
891.9137871925396 25.060237866173708
896.5627344245898 23.930432330074453
902.0833592626495 22.526116413025846
907.313424898706 21.25375331576099
911.9623721307562 20.029237084323682
917.4829969688159 18.826665710924132
923.0036218068755 17.62046196710679
927.6525690389257 16.502495267924772
933.1731938769854 15.30355626494304
939.2749371190513 13.944651229237806
945.086121159114 12.773610611302814
951.1878644011799 11.650083178670641
956.7084892392396 10.527423954462577
962.2291140772992 9.554902707523325
968.6214165213682 8.335530907705063
974.4326005614311 7.647730087574388
980.2437846014938 6.487452048655072
986.6360870455628 5.713651020086246
993.0283894896319 4.891418385946835
998.5490143276916 4.16831990769613
1000.0 4.13
1030.0 0.0
