# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
408.24 1245.321
409.00 1262.729
409.75 1279.876
410.51 1297.084
411.26 1311.35
412.01 1320.652
412.77 1329.979
413.52 1336.101
414.28 1340.427
415.03 1344.756
415.78 1340.905
416.54 1336.06
417.29 1330.166
418.05 1317.68
418.80 1305.122
419.55 1295.462
420.31 1291.047
421.06 1286.597
421.82 1280.445
422.57 1272.999
423.32 1265.505
424.08 1255.389
424.83 1244.439
425.59 1233.428
426.34 1205.348
427.09 1176.279
427.85 1147.139
428.60 1118.331
429.36 1089.389
430.11 1077.383
430.86 1109.918
431.62 1142.575
432.37 1181.674
433.13 1229.746
433.88 1278.002
434.63 1311.745
435.39 1333.256
436.14 1354.839
436.90 1364.13
437.65 1366.961
438.40 1369.788
439.16 1383.884
439.91 1401.72
440.67 1419.613
441.42 1442.114
442.17 1465.578
442.93 1489.119
443.68 1503.723
444.44 1517.429
445.19 1531.174
445.94 1552.999
446.70 1575.24
447.45 1597.551
448.21 1622.663
448.96 1647.86
449.71 1672.664
450.47 1677.286
451.22 1681.431
451.98 1685.407
452.73 1684.094
453.48 1682.765
454.24 1681.751
454.99 1692.833
455.75 1703.944
456.50 1715.041
457.25 1718.087
458.01 1721.133
458.76 1724.179
459.52 1725.774
460.27 1727.317
461.02 1728.856
461.78 1730.945
462.53 1733.082
463.29 1735.215
464.04 1738.943
464.79 1742.953
465.55 1746.966
466.30 1750.633
467.06 1754.198
467.81 1757.764
468.56 1758.811
469.32 1758.62
470.07 1758.418
470.83 1762.703
471.58 1770.536
472.33 1778.386
473.09 1787.825
473.84 1799.364
474.60 1810.933
475.35 1820.93
476.10 1826.956
476.86 1832.992
477.61 1838.358
478.37 1839.066
479.12 1839.765
479.87 1840.457
480.63 1835.435
481.38 1830.092
482.14 1824.72
482.89 1805.829
483.64 1782.596
484.40 1759.275
485.15 1742.026
485.91 1729.722
486.66 1717.368
487.41 1713.809
488.17 1728.307
488.92 1742.843
489.68 1757.026
490.43 1767.218
491.18 1777.434
491.94 1787.674
492.69 1797.217
493.45 1806.636
494.20 1816.077
494.95 1818.197
495.71 1814.528
496.46 1810.839
497.22 1804.694
497.97 1791.949
498.72 1779.154
499.48 1766.307
500.23 1764.714
500.99 1763.412
501.74 1762.098
502.49 1769.307
503.25 1781.271
504.00 1793.264
504.76 1804.444
505.51 1813.731
506.26 1823.038
507.02 1832.364
507.77 1833.883
508.53 1834.983
509.28 1836.077
510.03 1832.87
510.79 1826.49
511.54 1820.083
512.30 1810.964
513.05 1790.225
513.80 1769.417
514.56 1748.538
515.31 1727.984
