# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
409.75 1366.641
410.51 1384.546
411.26 1399.299
412.01 1408.746
412.77 1418.214
413.52 1424.258
414.28 1428.385
415.03 1432.51
415.78 1427.923
416.54 1422.28
417.29 1415.524
418.05 1401.76
418.80 1387.929
419.55 1377.187
420.31 1372.026
421.06 1366.831
421.82 1359.832
422.57 1351.464
423.32 1343.05
424.08 1331.86
424.83 1319.793
425.59 1307.669
426.34 1277.462
427.09 1246.229
427.85 1214.94
428.60 1184.025
429.36 1152.989
430.11 1139.892
430.86 1173.912
431.62 1208.039
432.37 1248.95
433.13 1299.314
433.88 1349.837
434.63 1385.002
435.39 1407.23
436.14 1429.521
436.90 1438.83
437.65 1441.32
438.40 1443.805
439.16 1458.161
439.91 1476.446
440.67 1494.778
441.42 1517.947
442.17 1542.113
442.93 1566.344
443.68 1581.159
444.44 1595.021
445.19 1608.912
445.94 1631.282
446.70 1654.072
447.45 1676.919
448.21 1702.69
448.96 1728.53
449.71 1753.941
450.47 1759.534
451.22 1763.111
451.98 1766.509
452.73 1764.365
453.48 1762.209
454.24 1760.385
454.99 1771.223
455.75 1782.083
456.50 1792.921
457.25 1795.339
458.01 1797.757
458.76 1800.175
459.52 1801.078
460.27 1801.929
461.02 1802.777
461.78 1804.2
462.53 1805.672
463.29 1807.142
464.04 1810.273
464.79 1813.697
465.55 1817.124
466.30 1820.189
467.06 1823.148
467.81 1826.108
468.56 1826.451
469.32 1825.511
470.07 1824.563
470.83 1828.27
471.58 1835.656
472.33 1843.054
473.09 1852.095
473.84 1863.306
474.60 1874.541
475.35 1884.141
476.10 1889.629
476.86 1895.125
477.61 1899.927
478.37 1899.914
479.12 1899.894
479.87 1899.868
480.63 1893.949
481.38 1887.704
482.14 1881.437
482.89 1861.242
483.64 1836.591
484.40 1811.871
485.15 1793.422
485.91 1780.078
486.66 1766.694
487.41 1762.366
488.17 1776.605
488.92 1790.874
489.68 1804.771
490.43 1814.562
491.18 1824.372
