# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
409.75 1350.022
410.51 1367.618
411.26 1382.101
412.01 1391.346
412.77 1400.612
413.52 1406.499
414.28 1410.494
415.03 1414.491
415.78 1409.887
416.54 1404.244
417.29 1397.505
418.05 1383.851
418.80 1370.135
419.55 1359.472
420.31 1354.321
421.06 1349.14
421.82 1342.181
422.57 1333.873
423.32 1325.524
424.08 1314.436
424.83 1302.487
425.59 1290.485
426.34 1260.641
427.09 1229.787
427.85 1198.884
428.60 1168.351
429.36 1137.703
430.11 1124.758
430.86 1158.308
431.62 1191.963
432.37 1232.313
433.13 1281.991
433.88 1331.827
434.63 1366.511
435.39 1388.434
436.14 1410.419
436.90 1419.599
437.65 1422.053
438.40 1424.505
439.16 1438.671
439.91 1456.716
440.67 1474.81
441.42 1497.678
442.17 1521.534
442.93 1545.456
443.68 1560.09
444.44 1573.787
445.19 1587.516
445.94 1609.613
446.70 1632.128
447.45 1654.703
448.21 1680.166
448.96 1705.701
449.71 1730.816
450.47 1734.859
451.22 1738.607
451.98 1742.178
452.73 1740.284
453.48 1738.376
454.24 1736.795
454.99 1747.706
455.75 1758.641
456.50 1769.557
457.25 1772.164
458.01 1774.77
458.76 1777.376
459.52 1778.487
460.27 1779.546
461.02 1780.6
461.78 1782.223
462.53 1783.895
463.29 1785.564
464.04 1788.874
464.79 1792.474
465.55 1796.076
466.30 1799.323
467.06 1802.463
467.81 1805.605
468.56 1806.159
469.32 1805.444
470.07 1804.719
470.83 1808.6
471.58 1816.12
472.33 1823.654
473.09 1832.814
473.84 1844.124
474.60 1855.458
475.35 1865.178
476.10 1870.827
476.86 1876.485
477.61 1881.456
478.37 1881.659
479.12 1881.855
479.87 1882.044
480.63 1876.395
481.38 1870.42
482.14 1864.422
482.89 1844.618
483.64 1820.392
484.40 1796.092
485.15 1778.003
485.91 1764.971
486.66 1751.896
487.41 1747.799
488.17 1762.116
488.92 1776.465
489.68 1790.448
490.43 1800.359
491.18 1810.29
491.94 1820.242
492.69 1829.481
493.45 1838.591
494.20 1847.718
494.95 1849.396
495.71 1845.189
496.46 1840.963
497.22 1834.245
497.97 1820.825
498.72 1807.362
499.48 1793.856
500.23 1791.784
500.99 1790.012
501.74 1788.229
502.49 1795.096
503.25 1806.784
504.00 1818.496
504.76 1829.379
505.51 1838.339
506.26 1847.317
507.02 1856.311
507.77 1857.394
508.53 1858.052
509.28 1858.706
510.03 1855.009
510.79 1848.103
511.54 1841.174
512.30 1831.508
513.05 1810.098
513.80 1788.629
514.56 1767.101
515.31 1745.912
516.07 1724.776
516.82 1703.582
517.57 1694.017
518.33 1705.4
519.08 1716.805
519.84 1728.234
520.59 1748.571
521.34 1769.75
522.10 1790.975
522.85 1803.332
523.61 1805.243
524.36 1807.153
525.11 1809.062
525.87 1813.142
526.62 1817.257
527.38 1821.378
528.13 1829.313
528.88 1841.179
529.64 1853.069
530.39 1864.982
531.15 1862.702
531.90 1860.18
532.65 1857.646
533.41 1858.599
534.16 1863.722
534.92 1868.853
535.67 1873.99
536.42 1876.157
537.18 1878.033
537.93 1879.907
538.69 1880.181
539.44 1877.44
540.19 1874.687
540.95 1871.921
541.70 1876.344
542.46 1882.968
543.21 1889.601
543.96 1895.657
544.72 1898.814
545.47 1901.973
546.23 1905.135
546.98 1905.925
547.73 1904.78
548.49 1903.627
549.24 1902.467
550.00 1904.906
550.75 1907.246
551.50 1909.585
552.26 1911.428
553.01 1911.884
553.77 1912.337
554.52 1912.788
555.27 1910.084
556.03 1905.193
556.78 1900.29
557.54 1895.373
558.29 1895.822
559.04 1896.853
559.80 1897.883
560.55 1899.434
561.31 1903.164
562.06 1906.897
562.81 1910.634
563.57 1912.345
564.32 1911.737
565.08 1911.124
565.83 1910.507
566.58 1911.668
567.34 1913.522
568.09 1915.376
568.85 1917.23
569.60 1922.649
570.35 1928.239
571.11 1933.836
571.86 1939.026
572.62 1942.234
573.37 1945.445
574.12 1948.658
574.88 1950.111
575.63 1948.56
576.39 1947.001
577.14 1945.437
577.89 1945.507
578.65 1946.921
579.40 1948.334
580.16 1949.747
580.91 1950.793
581.66 1951.686
582.42 1952.578
583.17 1953.468
583.93 1947.762
584.68 1940.868
585.43 1933.957
586.19 1927.031
586.94 1919.413
587.70 1911.756
588.45 1904.082
589.20 1897.213
589.96 1900.997
590.71 1904.785
591.47 1908.577
592.22 1912.607
592.97 1917.945
593.73 1923.289
594.48 1928.64
595.24 1932.635
595.99 1931.648
596.74 1930.656
597.50 1929.659
598.25 1928.17
599.01 1925.265
599.76 1922.352
600.51 1919.375
601.27 1917.561
602.02 1918.824
602.78 1920.086
603.53 1921.347
604.28 1921.843
605.04 1920.393
605.79 1918.938
606.55 1917.477
607.30 1914.406
608.05 1906.875
608.81 1899.329
609.56 1891.767
610.32 1883.835
611.07 1874.683
611.82 1865.514
612.58 1856.326
613.33 1848.193
614.09 1845.294
614.84 1842.388
615.59 1839.474
616.35 1837.228
617.10 1841.676
617.86 1846.129
618.61 1850.587
619.36 1855.049
620.12 1853.87
620.87 1852.649
621.63 1851.423
622.38 1850.193
623.13 1848.081
623.89 1845.837
624.64 1843.587
625.40 1841.33
626.15 1842.169
626.90 1844.127
627.66 1846.086
628.41 1848.045
629.17 1847.724
629.92 1845.7
630.67 1843.669
631.43 1841.632
632.18 1839.853
632.94 1838.474
633.69 1837.09
634.44 1835.702
635.20 1834.503
635.95 1834.129
636.71 1833.753
637.46 1833.373
638.21 1832.99
638.97 1830.664
639.72 1828.266
640.48 1825.861
641.23 1823.45
641.98 1821.306
642.74 1819.26
643.49 1817.209
644.25 1815.152
645.00 1813.164
645.75 1811.258
646.51 1809.346
647.26 1807.429
648.02 1805.485
648.77 1803.431
649.52 1801.37
650.28 1799.215
651.03 1796.903
651.79 1789.19
652.54 1780.583
653.29 1771.962
654.05 1763.328
654.80 1757.388
655.56 1753.85
656.31 1750.306
657.06 1746.756
657.82 1745.301
658.57 1753.66
659.33 1762.03
660.08 1770.409
660.83 1778.798
661.59 1782.433
662.34 1784.898
663.10 1787.365
663.85 1789.833
664.60 1790.828
665.36 1789.673
666.11 1788.515
666.87 1787.354
667.62 1786.19
668.37 1784.334
669.13 1782.467
669.88 1780.595
670.64 1778.72
671.39 1776.927
672.14 1775.2
672.90 1773.469
673.65 1771.735
674.41 1769.986
675.16 1768.117
675.91 1766.244
676.67 1764.367
677.42 1762.486
678.18 1760.271
678.93 1757.835
679.68 1755.394
680.44 1752.949
681.19 1750.513
681.95 1748.216
682.70 1745.913
683.45 1743.607
684.21 1741.296
684.96 1739.782
685.72 1738.882
686.47 1737.98
687.22 1737.075
687.98 1736.163
688.73 1734.913
689.49 1733.66
690.24 1732.404
690.99 1731.145
691.75 1729.401
692.50 1727.03
693.26 1724.654
694.01 1722.275
694.76 1719.89
695.52 1716.99
696.27 1713.986
697.03 1710.977
697.78 1707.962
698.53 1704.962
699.29 1702.028
700.04 1699.052
700.80 1695.453
701.55 1691.853
702.30 1689.333
703.06 1687.62
703.81 1685.906
704.57 1684.19
705.32 1682.473
706.07 1680.141
706.83 1677.742
707.58 1675.341
708.34 1672.939
709.09 1670.172
709.84 1666.063
710.60 1661.951
711.35 1657.837
712.11 1653.721
712.86 1649.273
713.61 1644.49
714.37 1639.704
